PLAYER_ID,PLAYER_NAME,draft_year,macro_archetype,shot_style_subtype,hybrid_archetype_label,prototype_fit_ambiguity,identity_drift_class,realistic_comp_list,realistic_comp_similarity_mean,matched_comp_salary_list,comp_salary_match_count,comp_salary_match_rate,comp_salary_anchor_weighted_mean,comp_salary_anchor_p25,comp_salary_anchor_p50,comp_salary_anchor_p75,comp_salary_anchor_support,median_comp_group_points,median_comp_group_minutes,median_comp_group_rebounds,median_comp_group_assists,ceiling_comp_PLAYER_NAME,ceiling_comp_supported,ceiling_comp_note,supporting_shot_style_explanation,block2_market_context_interpretation,historical_year5_salary_cap_pct_observed,historical_year5_salary_observed_flag,historical_year5_salary_match_type
1882,Elton Brand,1999,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,0.8156868515108351,role_shifting_materially,"Kenyon Martin, Luol Deng, Yao Ming, Carlos Boozer, Zach Randolph",6.999811600884239,"Kenyon Martin, Luol Deng, Yao Ming, Carlos Boozer, Zach Randolph",5,1.0,0.20709477873660329,0.2119221417145008,0.2154882222222222,0.2155127877820834,medium,1033.0,2049.0,592.0,127.0,Tracy McGrady,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,High-frequency perimeter shot makers and floor-spacing profiles.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.212 to 0.216 of cap, with a weighted midpoint near 0.215. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.25,1,exact_normalized_name
1883,Steve Francis,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.5036629756697013,role_shifting_materially,"Lamar Odom, Deron Williams, Leandro Barbosa, Jameer Nelson, Quentin Richardson",7.087425906579524,"Lamar Odom, Deron Williams, Leandro Barbosa, Jameer Nelson, Quentin Richardson",5,1.0,0.16354708138878501,0.1312201772324471,0.1322087987235012,0.2135857885615251,medium,687.0,1621.0,194.5,253.0,Kobe Bryant,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.131 to 0.214 of cap, with a weighted midpoint near 0.132. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.25,1,exact_normalized_name
1884,Baron Davis,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.6375559662332309,role_shifting_materially,"Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover",7.465172644664781,"Deron Williams, Luke Walton, T.J. Ford, Dion Glover",4,0.8,0.11471239561661102,0.0719036491101923,0.1438072982203846,0.2135857885615251,medium,415.0,1042.5,150.0,103.0,Kobe Bryant,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.214 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.25,1,exact_normalized_name
1885,Lamar Odom,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.8095339608882459,role_shifting_materially,"Steve Francis, James Posey, Mehmet Okur, T.J. Ford, Charlie Villanueva",6.657120278908503,"Steve Francis, James Posey, Mehmet Okur, T.J. Ford, Charlie Villanueva",5,1.0,0.15834327355120242,0.1126516464471403,0.1438072982203846,0.1666666666666666,medium,550.5,1916.5,325.5,119.5,Allen Iverson,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.113 to 0.167 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.227271806569343,1,exact_normalized_name
1886,Jonathan Bender,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,0.9613232201234104,role_shifting_materially,"Mike Scott, Jon Leuer, Jeremy Lamb, Fred Jones, Chris Singleton",7.107713831680593,"Mike Scott, Jon Leuer, Jeremy Lamb, Fred Jones",4,0.8,0.04532756093272273,0.035407125330614,0.035407125330614,0.0583419591606285,medium,397.0,1039.5,171.5,56.0,Paul Pierce,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.035 to 0.058 of cap, with a weighted midpoint near 0.035. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.1322992700729927,1,exact_normalized_name
1887,Wally Szczerbiak,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.9314828629863138,role_shifting_materially,"Mike Miller, Gordan Giricek, Gilbert Arenas, Ryan Gomes, Francisco Garcia",6.066168672918453,"Mike Miller, Gordan Giricek, Gilbert Arenas, Ryan Gomes, Francisco Garcia",5,1.0,0.11125076751464255,0.0670277296360485,0.1005199306759098,0.1367677228174151,high,689.5,1169.0,133.0,118.5,Chauncey Billups,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.067 to 0.137 of cap, with a weighted midpoint near 0.101. Comp-market support is high, and the early-career drift class is role_shifting_materially.",0.1824817518248175,1,exact_normalized_name
1888,Richard Hamilton,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.725736046526192,role_shifting_materially,"Juan Dixon, Gerald Green, O.J. Mayo, Quincy Douby, Aaron Brooks",6.303748443974564,"Juan Dixon, O.J. Mayo",2,0.4,0.0581319626630899,0.0479909664063235,0.0479909664063235,0.0692578044242299,low,371.0,855.0,78.0,97.0,Steve Nash,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.048 to 0.069 of cap, with a weighted midpoint near 0.048. Comp-market support is low, and the early-career drift class is role_shifting_materially.",0.1482664233576642,1,exact_normalized_name
1889,Andre Miller,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.6068882496214357,role_shifting_materially,"Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",8.119716712700257,"Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",4,0.8,0.14797903661993486,0.0391956373551465,0.2022290131224159,0.2022290131224159,medium,663.5,1754.5,143.0,285.0,Manu Ginobili,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.039 to 0.202 of cap, with a weighted midpoint near 0.202. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.1824817518248175,1,exact_normalized_name
1890,Shawn Marion,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.6462030126387787,role_shifting_materially,"LaMarcus Aldridge, Desmond Mason, Metta World Peace, Josh Howard, Rodney Buford",5.719742582860478,"LaMarcus Aldridge, Desmond Mason, Metta World Peace, Josh Howard, Rodney Buford",5,1.0,0.13475397918172302,0.1248559306569343,0.148840437656713,0.1937151126731445,high,727.0,1956.5,271.0,99.5,Vince Carter,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.125 to 0.194 of cap, with a weighted midpoint near 0.149. Comp-market support is high, and the early-career drift class is role_shifting_materially.",0.25,1,exact_normalized_name
1891,Jason Terry,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.4846568055403031,role_shifting_materially,"Kirk Hinrich, Delonte West, Mike Dunleavy, Luke Ridnour, Aaron Brooks",8.497313843546333,"Kirk Hinrich, Delonte West, Mike Dunleavy, Luke Ridnour",4,0.8,0.132209027100139,0.0656100886162235,0.1399833631316458,0.2022290131224159,low,531.0,1529.0,142.0,167.5,Steve Nash,1.0,Ceiling comp is upside-only context and should not be used as the primary pricing anchor.,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.066 to 0.202 of cap, with a weighted midpoint near 0.140. Comp-market support is low, and the early-career drift class is role_shifting_materially.",0.1900851505474452,1,exact_normalized_name
