season_start_year,name_key,salary_player_name_example,year_salary_total,raw_salary_rows,raw_team_count,any_team_option,any_player_option,any_qualifying_offer,any_two_way_contract,any_terminated
1990,a c green,A.C. Green,1750000,1,1,0,0,0,0,0
1990,a j english,A.J. English,275000,1,1,0,0,0,0,0
1990,a j wynder,A.J. Wynder,30000,1,1,0,0,0,0,0
1990,adrian caldwell,Adrian Caldwell,275000,1,1,0,0,0,0,0
1990,adrian dantley,Adrian Dantley,400000,1,1,0,0,0,0,0
1990,alaa abdelnaby,Alaa Abdelnaby,395000,1,1,0,0,0,0,0
1990,alan bannister,Alan Bannister,50000,1,1,0,0,0,0,0
1990,alan ogg,Alan Ogg,130000,1,1,0,0,0,0,0
1990,alec kessler,Alec Kessler,1600000,1,1,0,0,0,0,0
1990,alex english,Alex English,1500000,1,1,0,0,0,0,0
1990,alexander volkov,Alexander Volkov,650000,1,1,0,0,0,0,0
1990,alton lister,Alton Lister,1700000,1,1,0,0,0,0,0
1990,alvin robertson,Alvin Robertson,870000,1,1,0,0,0,0,0
1990,andre turner,Andre Turner,110000,1,1,0,0,0,0,0
1990,andrew lang,Andrew Lang,600000,1,1,0,0,0,0,0
1990,andy toolson,Andy Toolson,120000,1,1,0,0,0,0,0
1990,anthony cook,Anthony Cook,370000,1,1,0,0,0,0,0
1990,anthony frederick,Anthony Frederick,30000,1,1,0,0,0,0,0
1990,antoine carr,Antoine Carr,610000,1,1,0,0,0,0,0
1990,armen gilliam,Armen Gilliam,1200000,1,1,0,0,0,0,0
1990,avery johnson,Avery Johnson,50000,1,1,0,0,0,0,0
1990,benoit benjamin,Benoit Benjamin,1750000,1,1,0,0,0,0,0
1990,bernard king,Bernard King,1600000,1,1,0,0,0,0,0
1990,bill cartwright,Bill Cartwright,1100000,1,1,0,0,0,0,0
1990,bill hanzlik,Bill Hanzlik,510000,1,1,0,0,0,0,0
1990,bill laimbeer,Bill Laimbeer,1510000,1,1,0,0,0,0,0
1990,bill wennington,Bill Wennington,700000,1,1,0,0,0,0,0
1990,billy thompson,Billy Thompson,400000,1,1,0,0,0,0,0
1990,bimbo coles,Bimbo Coles,290000,1,1,0,0,0,0,0
1990,bj armstrong,BJ Armstrong,425000,1,1,0,0,0,0,0
1990,blair rasmussen,Blair Rasmussen,2185000,1,1,0,0,0,0,0
1990,blue edwards,Blue Edwards,360000,1,1,0,0,0,0,0
1990,bo kimble,Bo Kimble,950000,1,1,0,0,0,0,0
1990,bob hansen,Bob Hansen,550000,1,1,0,0,0,0,0
1990,bob thornton,Bob Thornton,335000,1,1,0,0,0,0,0
1990,brad daugherty,Brad Daugherty,1320000,1,1,0,0,0,0,0
1990,brad davis,Brad Davis,600000,1,1,0,0,0,0,0
1990,brad lohaus,Brad Lohaus,1275000,1,1,0,0,0,0,0
1990,brian oliver,Brian Oliver,455000,1,1,0,0,0,0,0
1990,brian quinnett,Brian Quinnett,360000,1,1,0,0,0,0,0
1990,brian shaw,Brian Shaw,1212000,1,1,0,0,0,0,0
1990,buck johnson,Buck Johnson,675000,1,1,0,0,0,0,0
1990,buck williams,Buck Williams,1550000,1,1,0,0,0,0,0
1990,byron irvin,Byron Irvin,375000,1,1,0,0,0,0,0
1990,byron scott,Byron Scott,1100000,1,1,0,0,0,0,0
1990,cedric ceballos,Cedric Ceballos,175000,1,1,0,0,0,0,0
1990,charles barkley,Charles Barkley,2900000,1,1,0,0,0,0,0
1990,charles jones,Charles Jones,675000,1,1,0,0,0,0,0
1990,charles oakley,Charles Oakley,1050000,1,1,0,0,0,0,0
1990,charles smith,Charles Smith,1000000,1,1,0,0,0,0,0
1990,chris dudley,Chris Dudley,950000,1,1,0,0,0,0,0
1990,chris morris,Chris Morris,750000,1,1,0,0,0,0,0
1990,chris mullin,Chris Mullin,2850000,1,1,0,0,0,0,0
1990,chuck person,Chuck Person,2150000,1,1,0,0,0,0,0
1990,chucky brown,Chucky Brown,630000,1,1,0,0,0,0,0
1990,cliff levingston,Cliff Levingston,750000,1,1,0,0,0,0,0
1990,cliff robinson,Cliff Robinson,250000,1,1,0,0,0,0,0
1990,clyde drexler,Clyde Drexler,1180000,1,1,0,0,0,0,0
1990,craig ehlo,Craig Ehlo,925000,1,1,0,0,0,0,0
1990,craig hodges,Craig Hodges,600000,1,1,0,0,0,0,0
1990,dale ellis,Dale Ellis,1250000,1,1,0,0,0,0,0
1990,dan majerle,Dan Majerle,430000,1,1,0,0,0,0,0
1990,dana barros,Dana Barros,500000,1,1,0,0,0,0,0
1990,danny ainge,Danny Ainge,725000,1,1,0,0,0,0,0
1990,danny ferry,Danny Ferry,2640000,1,1,0,0,0,0,0
1990,danny manning,Danny Manning,2200000,1,1,0,0,0,0,0
1990,danny schayes,Danny Schayes,1500000,1,1,0,0,0,0,0
1990,danny young,Danny Young,450000,1,1,0,0,0,0,0
1990,darnell valentine,Darnell Valentine,100000,1,1,0,0,0,0,0
1990,darrell griffith,Darrell Griffith,850000,1,1,0,0,0,0,0
1990,darrell walker,Darrell Walker,610000,1,1,0,0,0,0,0
1990,dave corzine,Dave Corzine,300000,1,1,0,0,0,0,0
1990,dave feitl,Dave Feitl,275000,1,1,0,0,0,0,0
1990,dave greenwood,Dave Greenwood,650000,1,1,0,0,0,0,0
1990,dave hoppen,Dave Hoppen,400000,1,1,0,0,0,0,0
1990,dave jamerson,Dave Jamerson,650000,1,1,0,0,0,0,0
1990,dave popson,Dave Popson,80000,1,1,0,0,0,0,0
1990,david robinson,David Robinson,2265000,1,1,0,0,0,0,0
1990,david wingate,David Wingate,750000,1,1,0,0,0,0,0
1990,david wood,David Wood,300000,1,1,0,0,0,0,0
1990,dee brown,Dee Brown,547000,1,1,0,0,0,0,0
1990,delaney rudd,Delaney Rudd,215000,1,1,0,0,0,0,0
1990,dell curry,Dell Curry,900000,1,1,0,0,0,0,0
1990,dennis hopson,Dennis Hopson,915000,1,1,0,0,0,0,0
1990,dennis rodman,Dennis Rodman,880000,1,1,0,0,0,0,0
1990,dennis scott,Dennis Scott,1560000,1,1,0,0,0,0,0
1990,derek harper,Derek Harper,1519000,1,1,0,0,0,0,0
1990,derek smith,Derek Smith,315000,1,1,0,0,0,0,0
1990,derrick chievous,Derrick Chievous,525000,1,1,0,0,0,0,0
1990,derrick coleman,Derrick Coleman,2100000,1,1,0,0,0,0,0
1990,derrick gervin,Derrick Gervin,155000,1,1,0,0,0,0,0
1990,derrick mckey,Derrick McKey,962000,1,1,0,0,0,0,0
1990,detlef schrempf,Detlef Schrempf,1160000,1,1,0,0,0,0,0
1990,doc rivers,Doc Rivers,895000,1,1,0,0,0,0,0
