PLAYER_ID,PLAYER_NAME,draft_year,year5_season_start,year5_season_string,salary_player_name_example,year_salary_total,salary_cap,luxury_tax,year5_salary_cap_pct,raw_salary_rows,raw_team_count,any_team_option,any_player_option,any_qualifying_offer,any_two_way_contract,any_terminated,salary_name_match_flag,cap_match_flag,year5_salary_match_flag,salary_match_type,name_key_raw,name_key
1882,Elton Brand,1999,2003,2003-04,Elton Brand,10960000.0,43840000.0,67907202.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,elton brand,elton brand
1883,Steve Francis,1999,2003,2003-04,Steve Francis,10960000.0,43840000.0,67907202.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,steve francis,steve francis
1884,Baron Davis,1999,2003,2003-04,Baron Davis,10960000.0,43840000.0,67907202.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,baron davis,baron davis
1885,Lamar Odom,1999,2003,2003-04,Lamar Odom,9963596.0,43840000.0,67907202.0,0.22727180656934307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,lamar odom,lamar odom
1886,Jonathan Bender,1999,2003,2003-04,Jonathan Bender,5800000.0,43840000.0,67907202.0,0.1322992700729927,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,jonathan bender,jonathan bender
1887,Wally Szczerbiak,1999,2003,2003-04,Wally Szczerbiak,8000000.0,43840000.0,67907202.0,0.18248175182481752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,wally szczerbiak,wally szczerbiak
1888,Richard Hamilton,1999,2003,2003-04,Richard Hamilton,6500000.0,43840000.0,67907202.0,0.14826642335766424,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,richard hamilton,richard hamilton
1889,Andre Miller,1999,2003,2003-04,Andre Miller,8000000.0,43840000.0,67907202.0,0.18248175182481752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,andre miller,andre miller
1890,Shawn Marion,1999,2003,2003-04,Shawn Marion,10960000.0,43840000.0,67907202.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,shawn marion,shawn marion
1891,Jason Terry,1999,2003,2003-04,Jason Terry,8333333.0,43840000.0,67907202.0,0.19008515054744526,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,jason terry,jason terry
1892,Trajan Langdon,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,trajan langdon,trajan langdon
1893,Aleksandar Radojevic,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,aleksandar radojevic,aleksandar radojevic
1894,Corey Maggette,1999,2003,2003-04,Corey Maggette,7000000.0,43840000.0,67907202.0,0.15967153284671534,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,corey maggette,corey maggette
1895,William Avery,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,william avery,william avery
1897,Metta World Peace,1999,2003,2003-04,Metta World Peace,5473684.0,43840000.0,67907202.0,0.1248559306569343,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,metta world peace,metta world peace
1898,Cal Bowdler,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,cal bowdler,cal bowdler
1899,James Posey,1999,2003,2003-04,James Posey,4917000.0,43840000.0,67907202.0,0.11215784671532847,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,james posey,james posey
1900,Quincy Lewis,1999,2003,2003-04,Quincy Lewis,202341.0,43840000.0,67907202.0,0.004615442518248175,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,quincy lewis,quincy lewis
1901,Dion Glover,1999,2003,2003-04,Dion Glover,1000000.0,43840000.0,67907202.0,0.02281021897810219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,dion glover,dion glover
1902,Jeff Foster,1999,2003,2003-04,Jeff Foster,4000000.0,43840000.0,67907202.0,0.09124087591240876,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,jeff foster,jeff foster
1903,Kenny Thomas,1999,2003,2003-04,Kenny Thomas,5500000.0,43840000.0,67907202.0,0.12545620437956204,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,kenny thomas,kenny thomas
1904,Devean George,1999,2003,2003-04,Devean George,4546000.0,43840000.0,67907202.0,0.10369525547445256,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,devean george,devean george
1905,Andrei Kirilenko,1999,2003,2003-04,Andrei Kirilenko,955800.0,43840000.0,67907202.0,0.021802007299270072,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,andrei kirilenko,andrei kirilenko
1906,Tim James,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,tim james,tim james
1907,Vonteego Cummings,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,vonteego cummings,vonteego cummings
1908,Jumaine Jones,1999,2003,2003-04,Jumaine Jones,1500000.0,43840000.0,67907202.0,0.034215328467153285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,jumaine jones,jumaine jones
1909,Scott Padgett,1999,2003,2003-04,Scott Padgett,688679.0,43840000.0,67907202.0,0.015708918795620436,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,exact_normalized_name,scott padgett,scott padgett
1910,Leon Smith,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,leon smith,leon smith
1911,John Celestand,1999,2003,2003-04,,,43840000.0,67907202.0,,,,,,,,,0,1,0,unmatched,john celestand,john celestand
