PLAYER_ID,PLAYER_NAME,ceiling_comp_PLAYER_ID,ceiling_comp_PLAYER_NAME,ceiling_shot_embedding_distance,ceiling_pca_distance,ceiling_macro_role_match,ceiling_comp_supported,ceiling_comp_similarity_score
1882,Elton Brand,1503,Tracy McGrady,18.612466420062052,10.343244226354663,0,1,15.718238652264466
1883,Steve Francis,977,Kobe Bryant,11.194735914019102,10.456750500150317,0,1,10.936441019165027
1884,Baron Davis,977,Kobe Bryant,8.569913333836721,10.104001778603177,0,1,9.10684428950498
1885,Lamar Odom,947,Allen Iverson,9.771989363156136,8.312907898248119,0,1,9.26131085043833
1886,Jonathan Bender,1718,Paul Pierce,13.89495751667388,6.130091645813739,1,1,11.177254461872831
1887,Wally Szczerbiak,1497,Chauncey Billups,10.651560237166233,7.648765485422314,0,1,9.600582074055861
1888,Richard Hamilton,959,Steve Nash,13.278146532780541,9.382751380535472,0,1,11.914758229494767
1889,Andre Miller,1938,Manu Ginobili,15.455708198595213,11.020618549618067,0,1,13.90342682145321
1890,Shawn Marion,1713,Vince Carter,13.24142999176646,8.593892636536284,0,1,11.614791917435898
1891,Jason Terry,959,Steve Nash,18.777170587994984,9.983474269149063,0,1,15.699376876398912
1892,Trajan Langdon,959,Steve Nash,18.10556810819112,5.441033250259518,1,1,13.672980907915061
1894,Corey Maggette,1503,Tracy McGrady,14.86338705896972,6.684737318610237,0,1,12.0008596498439
1895,William Avery,1497,Chauncey Billups,14.416263213605305,7.8598532424330845,0,1,12.121519723695027
1897,Metta World Peace,1713,Vince Carter,12.262022353356254,6.737074825889731,0,1,10.32829071874297
1898,Cal Bowdler,951,Ray Allen,17.385911368540295,5.7155227418096874,0,1,13.301275349184582
1899,James Posey,947,Allen Iverson,8.129010035057242,5.724496764608146,0,1,7.287430390400059
1900,Quincy Lewis,1713,Vince Carter,13.289230666617797,4.89465969518557,1,1,10.351130826616519
1901,Dion Glover,947,Allen Iverson,13.659979340923371,4.114862764448358,1,1,10.319188539157118
1902,Jeff Foster,1495,Tim Duncan,17.712343538715857,9.001567645741476,0,1,14.663571976174822
1903,Kenny Thomas,1503,Tracy McGrady,29.377791893902263,5.526436373460811,0,1,21.029817461747754
1904,Devean George,1497,Chauncey Billups,16.032083843125164,5.219749733266437,1,1,12.24776690467461
1905,Andrei Kirilenko,1503,Tracy McGrady,54.43368329144752,6.506457791408312,0,1,37.659154366433796
1906,Tim James,1497,Chauncey Billups,29.043550504964728,10.930523398278753,0,1,22.703991017624634
1907,Vonteego Cummings,1717,Dirk Nowitzki,10.741639608208942,7.132769597475697,1,1,9.478535104452305
1908,Jumaine Jones,1717,Dirk Nowitzki,12.73873531189948,7.097467254281515,1,1,10.764291491733193
1909,Scott Padgett,947,Allen Iverson,12.45083231371255,4.854863487370338,0,1,9.792243224492776
1910,Leon Smith,977,Kobe Bryant,47.51872147291159,7.910697108047785,0,1,33.65591294520926
1911,John Celestand,947,Allen Iverson,27.052512673680365,7.002450233300598,0,1,20.03499081954745
1913,Michael Ruffin,1503,Tracy McGrady,76.28240290985237,10.48797317625631,0,1,53.25435250309375
1914,Chris Herren,1717,Dirk Nowitzki,13.379822558776775,8.690813544573752,1,1,11.738669403805716
1915,Evan Eschmeyer,1503,Tracy McGrady,83.75839782596061,9.15551496885482,0,1,57.64738882597359
1916,Calvin Booth,1495,Tim Duncan,14.562454526320296,6.264877305627625,0,1,11.65830249907786
1917,Wang Zhi-zhi,1713,Vince Carter,11.0410736016907,9.882438562933372,0,1,10.635551338125634
1918,Obinna Ekezie,1495,Tim Duncan,14.127345233957692,7.692087756110848,0,1,11.875005116711296
1919,Laron Profit,951,Ray Allen,31.067508405440204,9.523742988523455,0,1,23.527190509519343
1921,Gordan Giricek,951,Ray Allen,11.05531200952343,4.393506269888406,1,1,8.723680000651171
1924,Lee Nailon,947,Allen Iverson,13.126389045987116,5.353165913059556,1,1,10.40576094946247
