PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,name_key,has_s1_s4_logs,has_later_career_targets,has_player_features,has_season_features,has_cluster_assignments,has_shotchart_rows,missing_stage_count,fully_covered_for_hybrid_pipeline
101106,Andrew Bogut,2005,andrew bogut,1,1,1,1,1,1,0,1
101107,Marvin Williams,2005,marvin williams,1,1,1,1,1,1,0,1
101114,Deron Williams,2005,deron williams,1,1,1,1,1,1,0,1
101108,Chris Paul,2005,chris paul,1,1,1,1,1,1,0,1
101109,Raymond Felton,2005,raymond felton,1,1,1,1,1,1,0,1
101110,Martell Webster,2005,martell webster,1,1,1,1,1,1,0,1
101111,Charlie Villanueva,2005,charlie villanueva,1,1,1,1,1,1,0,1
101112,Channing Frye,2005,channing frye,1,1,1,1,1,1,0,1
101113,Ike Diogu,2005,ike diogu,1,1,1,1,1,1,0,1
101115,Andrew Bynum,2005,andrew bynum,1,1,1,1,1,1,0,1
101116,Fran Vazquez,2005,fran vazquez,0,0,0,0,0,0,6,0
101117,Yaroslav Korolev,2005,yaroslav korolev,1,1,1,1,1,1,0,1
101118,Sean May,2005,sean may,1,1,1,1,1,1,0,1
101119,Rashad McCants,2005,rashad mccants,1,1,1,1,1,1,0,1
101120,Antoine Wright,2005,antoine wright,1,1,1,1,1,1,0,1
101121,Joey Graham,2005,joey graham,1,1,1,1,1,1,0,1
101122,Danny Granger,2005,danny granger,1,1,1,1,1,1,0,1
101123,Gerald Green,2005,gerald green,1,1,1,1,1,1,0,1
101124,Hakim Warrick,2005,hakim warrick,1,1,1,1,1,1,0,1
101125,Julius Hodge,2005,julius hodge,1,1,1,1,1,1,0,1
101126,Nate Robinson,2005,nate robinson,1,1,1,1,1,1,0,1
101127,Jarrett Jack,2005,jarrett jack,1,1,1,1,1,1,0,1
101128,Francisco Garcia,2005,francisco garcia,1,1,1,1,1,1,0,1
101129,Luther Head,2005,luther head,1,0,1,1,1,1,1,0
101130,Johan Petro,2005,johan petro,1,1,1,1,1,1,0,1
101131,Jason Maxiell,2005,jason maxiell,1,1,1,1,1,1,0,1
101132,Linas Kleiza,2005,linas kleiza,1,1,1,1,1,1,0,1
101133,Ian Mahinmi,2005,ian mahinmi,1,1,1,1,1,1,0,1
101134,Wayne Simien,2005,wayne simien,1,1,1,1,1,1,0,1
101135,David Lee,2005,david lee,1,1,1,1,1,1,0,1
101136,Salim Stoudamire,2005,salim stoudamire,1,1,1,1,1,1,0,1
101137,Daniel Ewing,2005,daniel ewing,1,1,1,1,1,1,0,1
101138,Brandon Bass,2005,brandon bass,1,1,1,1,1,1,0,1
101139,CJ Miles,2005,cj miles,1,1,1,1,1,1,0,1
101140,Ricky Sanchez,2005,ricky sanchez,0,0,0,0,0,0,6,0
101141,Ersan Ilyasova,2005,ersan ilyasova,1,1,1,1,1,1,0,1
101142,Ronny Turiaf,2005,ronny turiaf,1,1,1,1,1,1,0,1
101143,Travis Diener,2005,travis diener,1,1,1,1,1,1,0,1
