PLAYER_ID,PLAYER_NAME,draft_year,macro_archetype,shot_style_subtype,hybrid_archetype_label,prototype_fit_ambiguity,own_cluster_distance,shot_style_subtype_probability,identity_drift_class,box_role_y1_to_y4_displacement,shotstyle_y1_to_y4_displacement,shot_style_subtype_changes,realistic_comp_list,realistic_comp_similarity_mean,ceiling_comp_PLAYER_NAME,ceiling_comp_supported,median_comp_group_points,median_comp_group_minutes,median_comp_group_rebounds,median_comp_group_assists,supporting_shot_style_explanation,comp_based_interpretation
1882,Elton Brand,1999,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,0.8156868515108351,7.323642187813844,0.9998367089899832,role_shifting_materially,1.847823123921527,23.21714637321345,2.0,"Kenyon Martin, Luol Deng, Yao Ming, Carlos Boozer, Zach Randolph",6.999811600884239,Tracy McGrady,1.0,1033.0,2049.0,592.0,127.0,High-frequency perimeter shot makers and floor-spacing profiles.,"Closest realistic comps: Kenyon Martin, Luol Deng, Yao Ming, Carlos Boozer, Zach Randolph. Comp group median later-career points: 1033.0; minutes: 2049.0."
1883,Steve Francis,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.5036629756697013,4.288449090746475,0.9999999914886716,role_shifting_materially,1.629567619049789,23.435452387802265,0.0,"Lamar Odom, Deron Williams, Leandro Barbosa, Jameer Nelson, Quentin Richardson",7.087425906579524,Kobe Bryant,1.0,687.0,1621.0,194.5,253.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Lamar Odom, Deron Williams, Leandro Barbosa, Jameer Nelson, Quentin Richardson. Comp group median later-career points: 687.0; minutes: 1621.0."
1884,Baron Davis,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.6375559662332309,5.961304997195813,0.999999999995012,role_shifting_materially,3.426746402535297,49.11174262023248,2.0,"Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover",7.465172644664781,Kobe Bryant,1.0,415.0,1042.5,150.0,103.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover. Comp group median later-career points: 415.0; minutes: 1042.5."
1885,Lamar Odom,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.8095339608882459,5.7362084421509465,0.9998220883234016,role_shifting_materially,1.5009710247797965,22.90533378171933,1.0,"Steve Francis, James Posey, Mehmet Okur, T.J. Ford, Charlie Villanueva",6.657120278908491,Allen Iverson,1.0,550.5,1916.5,325.5,119.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Steve Francis, James Posey, Mehmet Okur, T.J. Ford, Charlie Villanueva. Comp group median later-career points: 550.5; minutes: 1916.5."
1886,Jonathan Bender,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,0.9613232201234104,6.270957524469091,0.9990264495190994,role_shifting_materially,4.641613741112536,31.11823522792231,0.0,"Mike Scott, Jon Leuer, Jeremy Lamb, Fred Jones, Chris Singleton",7.107713831680593,Paul Pierce,1.0,397.0,1039.5,171.5,56.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Mike Scott, Jon Leuer, Jeremy Lamb, Fred Jones, Chris Singleton. Comp group median later-career points: 397.0; minutes: 1039.5."
1887,Wally Szczerbiak,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.9314828629863138,4.946639707999751,0.9999800169849428,role_shifting_materially,1.899354880246325,36.94127998417375,2.0,"Mike Miller, Gordan Giricek, Gilbert Arenas, Ryan Gomes, Francisco Garcia",6.066168672918452,Chauncey Billups,1.0,689.5,1169.0,133.0,118.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Mike Miller, Gordan Giricek, Gilbert Arenas, Ryan Gomes, Francisco Garcia. Comp group median later-career points: 689.5; minutes: 1169.0."
1888,Richard Hamilton,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.725736046526192,5.232146189179193,0.9999872098206994,role_shifting_materially,3.219762358619952,43.960072946174265,3.0,"Juan Dixon, Gerald Green, O.J. Mayo, Quincy Douby, Aaron Brooks",6.303748443974564,Steve Nash,1.0,371.0,855.0,78.0,97.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Juan Dixon, Gerald Green, O.J. Mayo, Quincy Douby, Aaron Brooks. Comp group median later-career points: 371.0; minutes: 855.0."
1889,Andre Miller,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.6068882496214357,6.187092933135674,0.9999978891361646,role_shifting_materially,1.762655959553571,15.04080341393314,3.0,"Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",8.119716712700257,Manu Ginobili,1.0,663.5,1754.5,143.0,285.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour. Comp group median later-career points: 663.5; minutes: 1754.5."
1890,Shawn Marion,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.6462030126387787,4.704683201427508,0.9998923552539316,role_shifting_materially,2.94158539361789,43.5432041021936,1.0,"LaMarcus Aldridge, Desmond Mason, Metta World Peace, Josh Howard, Rodney Buford",5.719742582860478,Vince Carter,1.0,727.0,1956.5,271.0,99.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: LaMarcus Aldridge, Desmond Mason, Metta World Peace, Josh Howard, Rodney Buford. Comp group median later-career points: 727.0; minutes: 1956.5."
1891,Jason Terry,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.4846568055403031,4.097239123834482,0.9999970193307788,role_shifting_materially,2.178498564429693,28.18942988549049,2.0,"Kirk Hinrich, Delonte West, Mike Dunleavy, Luke Ridnour, Aaron Brooks",8.497313843546333,Steve Nash,1.0,531.0,1529.0,142.0,167.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Kirk Hinrich, Delonte West, Mike Dunleavy, Luke Ridnour, Aaron Brooks. Comp group median later-career points: 531.0; minutes: 1529.0."
1892,Trajan Langdon,1999,Perimeter Wings & Connectors,Midrange Shot Creators,Perimeter Wings & Connectors | Midrange Shot Creators,0.6472793813185141,4.684747458345316,0.6233038870634497,insufficient_data,,,1.0,"Nick Young, Austin Daye, Rudy Fernandez, Darrun Hilliard, Juan Dixon",6.706472945805297,Steve Nash,1.0,288.0,816.0,75.0,52.0,Self-created midrange-heavy profiles with intermediate-area usage.,"Closest realistic comps: Nick Young, Austin Daye, Rudy Fernandez, Darrun Hilliard, Juan Dixon. Comp group median later-career points: 288.0; minutes: 816.0."
1893,Aleksandar Radojevic,1999,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,0.7961988433811377,9.502218080510517,,insufficient_data,,,,,,,,,,,,Shot-style subtype unavailable.,
1894,Corey Maggette,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.6785828519173353,4.855579482104767,0.9999973496879504,role_shifting_materially,2.363982333949257,37.60295605060925,2.0,"Linas Kleiza, Dion Glover, Joey Graham, Mehmet Okur, Luol Deng",5.8709692398547215,Tracy McGrady,1.0,473.0,1057.0,199.0,76.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Linas Kleiza, Dion Glover, Joey Graham, Mehmet Okur, Luol Deng. Comp group median later-career points: 473.0; minutes: 1057.0."
1895,William Avery,1999,Fringe / Low-Opportunity Players,Rim Pressure Drivers,Fringe / Low-Opportunity Players | Rim Pressure Drivers,0.9516498091568836,6.767930002044753,0.999669741839043,insufficient_data,,,2.0,"Keyon Dooling, Chris Duhon, Bostjan Nachbar, Brian Scalabrine, Sasha Pavlovic",7.367886152737158,Chauncey Billups,1.0,241.0,813.0,79.0,40.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Keyon Dooling, Chris Duhon, Bostjan Nachbar, Brian Scalabrine, Sasha Pavlovic. Comp group median later-career points: 241.0; minutes: 813.0."
1897,Metta World Peace,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,0.8591962945389476,4.676454863748788,0.9999995524150982,role_shifting_materially,1.5794812179364657,41.5860510815357,2.0,"Jason Richardson, Jeff Green, Caron Butler, Mike Miller, LaMarcus Aldridge",5.034603870493649,Vince Carter,1.0,774.5,1875.0,273.0,131.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Jason Richardson, Jeff Green, Caron Butler, Mike Miller, LaMarcus Aldridge. Comp group median later-career points: 774.5; minutes: 1875.0."
1898,Cal Bowdler,1999,Low-Usage Interior Bigs,Midrange Shot Creators,Low-Usage Interior Bigs | Midrange Shot Creators,0.969318846558764,4.901631654509611,0.9999998491488612,insufficient_data,,,1.0,"David Noel, Rodney Carney, Tamar Slay, Speedy Claxton, DerMarr Johnson",6.861378283431664,Ray Allen,1.0,319.0,857.0,123.0,55.0,Self-created midrange-heavy profiles with intermediate-area usage.,"Closest realistic comps: David Noel, Rodney Carney, Tamar Slay, Speedy Claxton, DerMarr Johnson. Comp group median later-career points: 319.0; minutes: 857.0."
1899,James Posey,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.8315581999285802,5.017940458072704,0.9999956531038354,role_shifting_materially,1.4004379240909326,14.131795401042623,2.0,"Quentin Richardson, Mehmet Okur, Charlie Villanueva, Casey Jacobsen, Caron Butler",5.846655938728089,Allen Iverson,1.0,613.0,1621.0,273.0,93.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Quentin Richardson, Mehmet Okur, Charlie Villanueva, Casey Jacobsen, Caron Butler. Comp group median later-career points: 613.0; minutes: 1621.0."
1900,Quincy Lewis,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,0.8881450280950669,4.508695373311942,0.9116898522490576,insufficient_data,,,2.0,"DerMarr Johnson, Rashad McCants, Bostjan Nachbar, Metta World Peace, Ersan Ilyasova",5.464602922281759,Vince Carter,1.0,431.0,924.0,96.0,55.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: DerMarr Johnson, Rashad McCants, Bostjan Nachbar, Metta World Peace, Ersan Ilyasova. Comp group median later-career points: 431.0; minutes: 924.0."
1901,Dion Glover,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,0.6947854786418479,4.046395459859957,0.9999989154269058,role_shifting_materially,2.3616861527191237,39.04632383133016,0.0,"Linas Kleiza, Antoine Wright, Kirk Snyder, Corey Maggette, Quentin Richardson",5.66931792978346,Allen Iverson,1.0,473.0,1096.5,199.0,61.0,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Linas Kleiza, Antoine Wright, Kirk Snyder, Corey Maggette, Quentin Richardson. Comp group median later-career points: 473.0; minutes: 1096.5."
1902,Jeff Foster,1999,Low-Usage Interior Bigs,Midrange Shot Creators,Low-Usage Interior Bigs | Midrange Shot Creators,0.641676011631066,6.231806100759149,0.9999999139055228,role_shifting_materially,7.173540035907664,,0.0,"Serge Ibaka, Anthony Bennett, Thomas Robinson, Tyler Zeller, Josh McRoberts",8.427930746778497,Tim Duncan,1.0,239.0,614.0,151.0,33.0,Self-created midrange-heavy profiles with intermediate-area usage.,"Closest realistic comps: Serge Ibaka, Anthony Bennett, Thomas Robinson, Tyler Zeller, Josh McRoberts. Comp group median later-career points: 239.0; minutes: 614.0."
1903,Kenny Thomas,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.5717398362922147,3.822907144349424,0.996380174758315,role_shifting_materially,1.461781832656167,33.7824826520653,1.0,"Chris Kaman, Hakim Warrick, Stromile Swift, Darius Miles, Donnell Harvey",5.676055495907287,Tracy McGrady,1.0,391.0,1029.0,250.0,32.5,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"Closest realistic comps: Chris Kaman, Hakim Warrick, Stromile Swift, Darius Miles, Donnell Harvey. Comp group median later-career points: 391.0; minutes: 1029.0."
