tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
0,947,Allen Iverson,1996,1,1996-97,76,1500,625,0.4166666666666667,hof,12.091616,-20.995907,-11.505556,32.155457,25.173733,-18.861849,12.857563,-3.7284017,-2.0438676,6.42688,23.175156,22.68192,3.9334834,-18.760614,-17.70287,-0.9951459,7.5575724,30.995613,-3.1155508,-19.564789,-18.61354,23.041475,-24.075462,-19.245903
1,947,Allen Iverson,1996,2,1997-98,80,1407,649,0.4612651030561478,hof,13.164339,-12.567513,-4.170503,29.69623,21.487547,-11.921201,14.909128,3.5157678,-6.8479643,-6.502692,20.230145,23.571068,3.0405421,-8.060865,-16.951412,0.7092109,4.9876733,33.928947,-12.684065,-15.990046,-24.329199,12.11318,-23.432388,-11.166961
2,947,Allen Iverson,1996,3,1998-99,48,1056,435,0.4119318181818182,hof,8.308835,-13.131652,-6.4642725,19.484894,14.458649,-12.771008,10.7408905,-3.4861388,3.4227498,4.039979,10.583599,20.093227,2.0805755,-12.569179,-8.923343,-1.0835346,2.6201105,19.482542,3.1945198,-15.3900795,-14.51773,11.2562275,-18.719244,-11.165881
3,947,Allen Iverson,1996,4,1999-00,70,1733,729,0.4206578188113098,hof,8.301295,-17.74775,-8.171482,23.167171,19.097704,-13.625051,8.697191,-5.2167296,-2.0336704,1.0284439,12.676877,20.155771,1.5477316,-11.750698,-11.858437,-1.9990499,1.9230282,25.530706,-0.24319422,-16.314857,-14.386326,14.392094,-21.028683,-10.731322
4,951,Ray Allen,1996,1,1996-97,82,905,389,0.4298342541436464,hof,7.0094323,-15.857754,-5.879073,23.347744,18.335205,-10.14888,10.247957,-1.8860145,3.0259814,0.22351295,9.329998,19.601658,2.1341043,-12.99638,-8.495483,-1.3756919,3.7035508,17.475998,-1.0010293,-13.583338,-19.4698,8.333367,-19.64065,-11.376241
5,951,Ray Allen,1996,2,1997-98,82,1304,562,0.4309815950920245,hof,5.4841614,-10.546088,-7.085637,20.248144,14.85873,-8.204014,4.355725,-3.8879392,3.8909287,-3.506937,5.1815524,17.6455,3.0720985,-10.61627,-8.24883,-0.057083488,3.0645604,17.277016,2.581727,-11.347942,-20.39115,7.717454,-16.592709,-5.1121626
6,951,Ray Allen,1996,3,1998-99,50,671,303,0.4515648286140089,hof,8.308115,-11.808214,-6.1669207,23.540222,18.245949,-9.711669,8.924009,-2.306357,2.288971,-0.62098587,8.793528,18.323807,1.965281,-10.800855,-11.1673565,0.7662517,2.2548454,17.895767,2.7671597,-14.877363,-18.571777,10.370262,-16.440084,-8.666653
7,951,Ray Allen,1996,4,1999-00,82,1399,642,0.4588992137240886,hof,4.6291285,-6.1634464,-6.042229,23.626942,10.008264,-3.9151597,9.458818,-0.99051094,-3.0547838,-11.669018,9.9314995,13.879601,0.8801818,-7.6422195,-11.649965,0.26580483,5.154174,22.12083,-1.0697577,-10.581415,-24.426994,11.836524,-12.376388,-3.0302534
8,959,Steve Nash,1996,1,1996-97,55,175,74,0.4228571428571429,hof,6.0035133,-20.738712,-7.426306,24.043518,21.054726,-5.3033595,6.3423514,3.380724,8.115071,-3.4263842,0.87739074,11.8045635,6.8456354,-4.7560453,-5.5982313,2.8270514,1.1035763,10.684181,-9.695503,-7.236354,-20.39417,6.993931,-14.758864,-7.031104
9,959,Steve Nash,1996,2,1997-98,73,584,268,0.4589041095890411,hof,4.394228,-10.726828,-4.889894,20.271408,11.875403,-0.8940371,3.432907,-3.804072,4.841563,-10.058199,2.4849415,10.931742,1.9278734,-2.656006,-6.8422794,-1.692023,1.5974624,13.407646,-2.3438594,-7.015712,-22.129549,5.509201,-12.544363,-2.515215
10,959,Steve Nash,1996,3,1998-99,40,314,114,0.3630573248407643,hof,1.5650353,-12.49269,-2.692237,20.871193,15.178429,-4.162664,1.8398912,-5.2392898,-0.2531889,-7.325427,0.6827269,13.947319,-1.276036,-0.56851435,-1.295342,-4.8133736,-5.640827,11.971003,-0.055303812,-6.385703,-17.935392,1.5266513,-9.926128,-0.2610138
11,959,Steve Nash,1996,4,1999-00,56,363,173,0.4765840220385675,hof,-2.3742824,-5.6865683,-8.500746,21.024456,6.410805,-0.47511268,8.944942,-3.2455513,4.372968,-8.227281,0.8224126,11.758762,1.7982018,-4.09311,0.30201405,-3.0029836,0.9884385,9.888758,6.582694,-7.810602,-24.91917,3.2257907,-7.274467,2.8036456
