PLAYER_ID,PLAYER_NAME,draft_year,macro_cluster_id,macro_archetype,own_cluster_distance,cluster_0_onehot_k5,dist_to_cluster_0_k5,cluster_1_onehot_k5,dist_to_cluster_1_k5,cluster_2_onehot_k5,dist_to_cluster_2_k5,cluster_3_onehot_k5,dist_to_cluster_3_k5,cluster_4_onehot_k5,dist_to_cluster_4_k5,pca_1_k5,pca_2_k5,pca_3_k5,pca_4_k5,pca_5_k5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,cluster_archetype_k5,prototype_fit_rank_distance,prototype_margin_second_minus_first,prototype_ambiguity_ratio,DRAFT_YEAR,seasons_with_embeddings,total_shot_attempts_covered,embedding_aggregation,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24,shot_style_subtype_id,shot_style_subtype,shot_style_subtype_probability,shot_style_entropy,shot_style_prob_0,shot_style_prob_1,shot_style_prob_2,shot_style_prob_3,shot_style_prob_4,hybrid_archetype_label,box_role_y1_to_y4_displacement,box_role_total_path_length,observed_boxscore_seasons,shotstyle_y1_to_y4_displacement,shotstyle_total_path_length,observed_shot_seasons,shot_style_subtype_changes,identity_drift_class
1882,Elton Brand,1999,4,Scoring Bigs / Two-Way Forwards,7.323642187813844,0,8.97849729249505,0,11.616208445608228,0,12.027967543255324,0,14.568058217830115,1,7.323642187813844,7.041009489109097,3.1618476725754343,4.468879319140746,-3.246042565792984,-0.7497326213155758,1.6454213525293253,-2.4947833818358416,1.1213867687553625,1.9653415920322823,-1.3518076459663966,0.1217370469766133,1.3874575919639076,0.5320736590589948,-0.1281535898943956,-0.6110522421913616,0.2207198617291696,-0.2403125964595586,0.0884278512939888,-1.3135266295585917,0.8580464109075784,-0.0345997888933926,0.7365160722644413,0.5091858276080993,-0.0075125113709911,Scoring Bigs / Two-Way Forwards,7.323642187813844,1.6548551046812054,0.8156868515108351,1999.0,4.0,4431.0,shot_volume_x_mild_recency_weighted_mean,15.265675852405646,-21.06413414940353,-9.124774969191416,26.411850759093465,19.637143268414,-16.316340574994125,12.366805982706456,-5.076381763357898,2.3206733840952025,4.904657176888449,23.56976924293624,22.065335545497053,4.566024815388726,-16.900623847047743,-21.12502040710808,0.9076883332772,8.567333136779228,31.4665422375988,-1.0314935228426627,-22.316298253326053,-15.328174640605482,20.0669168557288,-25.24012471742981,-21.111824555047114,2.0,Arc-Heavy Spacers,0.9998367089899832,0.0017424367256493,6.136581129825585e-05,2.3472226876783485e-84,0.9998367089899832,1.7776034477843907e-05,8.414916424314321e-05,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,1.847823123921527,4.107794904020296,4,23.21714637321345,75.80497845328344,4.0,2.0,role_shifting_materially
1883,Steve Francis,1999,0,High-Usage Primary Creators,4.288449090746475,1,4.288449090746476,0,13.699056383689696,0,11.198599805235448,0,14.96692877616056,0,8.514521213405233,9.298675681574974,-2.7907292568789046,2.2891311932500624,-1.829393542436156,0.0941078157342071,2.788764464247802,-0.4475385466175984,0.9403607736961276,0.7550047856074346,-0.7611361962896955,0.2887478063195061,0.9316931765598172,0.3509192803122277,1.0417085870873295,-0.6910855114823414,0.0345788306198301,0.0448500131965142,-0.5679304175958121,0.1647988901092821,-0.4144455835632534,-0.0453063292924783,-0.3387915901553577,0.1182847763291698,0.3015360304893761,High-Usage Primary Creators,4.288449090746476,4.226072122658757,0.5036629756697013,1999.0,4.0,4639.0,shot_volume_x_mild_recency_weighted_mean,9.531221380594737,-13.130973694013852,-12.214610264956342,29.84622579162014,23.64385682818592,-17.006502316546214,13.256779874934123,-5.409273378326901,-2.21657602383373,4.292966106558613,14.493419769726689,26.301026849127027,8.903347978640737,-10.869924882083392,-11.92327325538202,-1.50254153975928,4.51914762050204,31.071723650777763,-3.164589507748263,-18.38221211036625,-20.55449076457501,15.97187091112003,-24.2591269035241,-11.333037912589488,0.0,Rim Pressure Drivers,0.9999999914886716,1.6666767817204257e-07,0.9999999914886716,2.4358210611330802e-51,7.301278136649205e-139,3.4980108102963164e-244,8.511326720970594e-09,High-Usage Primary Creators | Rim Pressure Drivers,1.629567619049789,3.921583714016271,4,23.435452387802265,76.44139783144789,4.0,0.0,role_shifting_materially
1884,Baron Davis,1999,0,High-Usage Primary Creators,5.961304997195813,1,5.961304997195814,0,13.388525775975555,0,10.064009759893707,0,14.505057230636996,0,9.350245802601506,7.805366267696569,-3.4812319546207284,-2.423642953395084,1.3319242610824185,2.2054855629149905,3.351882861759816,-1.32971801844613,-1.048016654486084,-0.9379260660866896,0.1707105480135625,-1.0790060586669543,-0.5584840907976762,0.6361961929714359,0.5024573465984151,-1.3123378978370566,-0.1631071113044867,0.266632741030149,-0.2054084105004942,1.892973843410828,0.2582823960149975,0.037878126421827,0.8738889509334908,0.0412064543148261,-0.2806939670396323,High-Usage Primary Creators,5.961304997195814,3.388940805405692,0.6375559662332309,1999.0,4.0,3517.0,shot_volume_x_mild_recency_weighted_mean,11.046631173113518,-15.706384169911235,-11.013354987240389,26.237652591188265,22.9180900939064,-17.116181816970688,11.110421356722494,-1.9396819146920368,-2.8423087061606496,3.990709209655188,17.91973806795005,22.593817967045307,5.982344378529315,-9.626596164254114,-12.908120863909256,-2.37229545657964,3.051963502556834,30.72507574123938,-4.8216825243186765,-19.46467171550857,-14.582248132287097,17.60926940693433,-23.266462051030715,-10.811918933918058,0.0,Rim Pressure Drivers,0.999999999995012,1.3470871127140998e-10,0.999999999995012,5.262588123471642e-44,1.43119201587671e-157,4.0804447104589216e-201,4.984525728132904e-12,High-Usage Primary Creators | Rim Pressure Drivers,3.426746402535297,5.478793539587519,4,49.11174262023248,71.89826779549189,4.0,2.0,role_shifting_materially
1885,Lamar Odom,1999,0,High-Usage Primary Creators,5.7362084421509465,1,5.736208442150946,0,10.970546236434526,0,9.19951358645019,0,12.642807245870085,0,7.08581569061908,6.187147465649334,-1.0991609359621437,1.5983044926858436,-3.522877960324357,-0.1943528833494493,2.0079938927213146,-1.1806308436336324,-0.3352567670164985,0.6466513289678268,-0.8746637091046096,-1.1188889061770104,0.458070760136878,1.837554849775373,0.7981692547084869,-0.6567106942119056,0.4119015625766149,-0.8342291607646519,-0.3870263863182469,-0.4886898916046633,1.6736191330526722,-0.8214497342695282,0.0716791002408377,0.815832143041889,1.2044103843830392,High-Usage Primary Creators,5.736208442150946,1.3496072484681347,0.8095339608882459,1999.0,4.0,3037.0,shot_volume_x_mild_recency_weighted_mean,12.060632855345007,-12.119514350211622,-8.378293157589027,29.33867063400199,20.656733894320062,-14.989851318577262,12.08032751553683,-4.486580286990486,-3.027187709181505,1.2494274869629196,17.199937751923887,20.79743488923309,5.050358134974054,-11.138686486166566,-15.722267904777196,-1.5011267230346803,4.708284022442006,29.821227656150626,-5.84085518103293,-17.41463610765493,-20.18027063260527,19.49867566604423,-20.551544782463623,-10.72304580033694,0.0,Rim Pressure Drivers,0.9998220883234016,0.0017140249980784,0.9998220883234016,6.536215728532335e-47,3.6697342674658055e-111,4.045069431621926e-60,0.0001779116765968,High-Usage Primary Creators | Rim Pressure Drivers,1.5009710247797965,4.210715047876137,4,22.90533378171933,75.16309636459576,4.0,1.0,role_shifting_materially
1886,Jonathan Bender,1999,2,Perimeter Wings & Connectors,6.270957524469091,0,11.111569219209686,0,6.523256063308295,1,6.270957524469091,0,8.322842624813926,0,8.390692827204665,-0.7996360937935106,0.9340128526393396,-0.7577143310550325,1.7209721228660932,-4.487654235228374,-0.2970719044567211,-1.01956913001345,-1.152310572955558,0.6007662828601427,-0.0361423905517245,1.5920408328654905,1.0289638224203863,0.943951763695943,-0.8791577331935787,0.854564286719921,-0.1786396665357489,-0.1528784126903563,0.8476075648258082,0.0956598891271363,-0.4824809633044374,0.3846075997727256,1.168720835749593,0.2322326827248569,1.0161551091748788,Perimeter Wings & Connectors,6.270957524469091,0.252298538839204,0.9613232201234104,1999.0,4.0,969.0,shot_volume_x_mild_recency_weighted_mean,5.970106737046565,-7.619991185478018,-1.5728138708950707,14.649101880179089,4.741940186759576,-1.6317963117111962,-0.6586562635123528,-10.5304963679692,8.86935951821767,-6.100614478248331,4.187212450565986,10.95875299778366,-5.5653932031859386,-2.8849936770641893,-6.847876526074311,-4.098157789247758,-0.8782208246622384,12.840450796998883,6.635845986660288,-7.373301129259843,-17.903489697997603,6.802546024838254,-10.320133604165374,2.736267186205537,0.0,Rim Pressure Drivers,0.9990264495190994,0.0077400980089744,0.9990264495190994,2.245313931943522e-06,2.724886756210408e-44,2.751735373794556e-48,0.0009713051669698,Perimeter Wings & Connectors | Rim Pressure Drivers,4.641613741112536,7.83760225181506,4,31.11823522792231,69.31895231931531,4.0,0.0,role_shifting_materially
1887,Wally Szczerbiak,1999,0,High-Usage Primary Creators,4.946639707999751,1,4.94663970799975,0,10.645242951804596,0,8.201272451175594,0,12.91569580063615,0,5.310499961471036,7.112746723511797,-0.0309015846281537,-0.5505132522095786,-0.7942812274000417,1.565616464790888,-0.961092444593282,-0.2686778671273048,2.1405007416823367,-0.6374478948840029,-0.8423856607966025,-0.0578568206569494,0.3051158211719109,1.1331287598163386,0.6521834723958206,-0.5733020961536824,-0.1971996321372494,-0.1042509157336809,-0.6373830676583038,0.9306854667219104,-0.5297830973804201,0.5661746657702121,0.1818621201218122,0.3491849385386191,0.1742876389502151,High-Usage Primary Creators,4.94663970799975,0.3638602534712865,0.9314828629863138,1999.0,4.0,3516.0,shot_volume_x_mild_recency_weighted_mean,5.282550290347132,-13.635807732604231,-7.050145848820395,25.38374114974662,15.575821420631843,-8.139217457145353,7.24938147610481,-6.427644078536412,-0.6260144564372782,-5.916305752168039,9.233265577679708,19.08184785780043,-0.317464871010676,-5.8008255582495565,-8.956627007054225,-5.785824611727328,0.4167006250303045,22.711293332013422,2.071871280623261,-15.083119960298411,-21.0198088145364,11.347700128305766,-18.562781455923485,-5.36795918459079,0.0,Rim Pressure Drivers,0.9999800169849428,0.000236211585512,0.9999800169849428,4.53479237740629e-23,2.261413454511967e-109,1.2058870177387631e-86,1.998301505873798e-05,High-Usage Primary Creators | Rim Pressure Drivers,1.899354880246325,2.9866981030679822,4,36.94127998417375,63.09315642403283,4.0,2.0,role_shifting_materially
1888,Richard Hamilton,1999,0,High-Usage Primary Creators,5.232146189179193,1,5.232146189179193,0,12.6763928265204,0,10.143315198512711,0,13.80954071582626,0,7.2094340831262045,8.07218243953022,-2.1082300375341925,2.82129646701832,1.0391516146094275,-0.9476066943445948,-1.3217960221872795,-2.118795388859141,-0.994179262228194,-0.6054394938613761,0.6422127705407563,1.9563034937817303,0.3831249172278638,-0.2721332122454896,0.5543154540691057,0.3477707602572979,0.3544035352888078,-0.1843303894502831,0.1364666303799323,0.0360230738416369,-0.5871679096511261,0.2105221204433657,1.151052331907363,0.2391001368171463,-0.1920899946990426,High-Usage Primary Creators,5.232146189179193,1.977287893947011,0.725736046526192,1999.0,4.0,4223.0,shot_volume_x_mild_recency_weighted_mean,4.169960814654349,-12.801218847167627,-5.607994916653235,18.54671625694819,10.946926174796095,-4.084208886276564,7.243295617559482,-1.0638762097829442,7.1295469141805,-2.632405320184437,5.001239457639846,12.247325566128849,1.045329368834741,-5.523156355411079,-5.327604948196825,-1.1104439992838488,1.67739222171227,10.65596526222436,2.823494338852958,-10.700002966063328,-16.768647801121602,6.657780277171073,-12.264111164307169,-5.229920213459415,0.0,Rim Pressure Drivers,0.9999872098206994,0.0001568949150766,0.9999872098206994,2.4864264431476897e-13,3.743147798826406e-42,4.618433312822845e-19,1.2790179052906451e-05,High-Usage Primary Creators | Rim Pressure Drivers,3.2197623586199517,4.799431220517413,4,43.960072946174265,70.3804859093419,4.0,3.0,role_shifting_materially
1889,Andre Miller,1999,0,High-Usage Primary Creators,6.187092933135674,1,6.187092933135675,0,14.100868618464157,0,11.157111691397851,0,15.33713742583243,0,10.194781225365716,8.533465859423794,-3.690418654160781,-1.3542352178053083,-0.5900307700144704,0.3268446754403225,5.514792657978911,-1.0366527711001543,0.4075229056560001,-0.056645134073943,-0.7063161728095211,0.2420596945911199,-0.989933067568994,-0.6748796752636921,-0.1065838173742966,-1.389779665331943,0.8696877914917667,-0.3556015419752985,0.4088758742479387,-1.0433228225340638,0.0622188907491806,0.9091175045244138,0.7593390714426974,0.8360878815772863,0.020893436777184,High-Usage Primary Creators,6.187092933135675,4.007688292230041,0.6068882496214357,1999.0,4.0,3699.0,shot_volume_x_mild_recency_weighted_mean,7.865934299655301,-11.063616316104786,-6.998911546375572,20.170929690459168,15.927488240822797,-9.327694473904998,8.791314661294013,-1.9923427325888363,9.25324099544564,4.24068692425251,7.807807094218735,15.333741456505496,4.170289391971689,-4.143555908249457,-5.74873043515511,-2.5537437037926125,1.8436362240996875,14.701600952396134,2.3241684700476326,-15.426027662033356,-13.646309816871282,12.193499353424585,-16.17738327078134,-5.261293890208149,0.0,Rim Pressure Drivers,0.9999978891361646,2.9697090112532244e-05,0.9999978891361646,5.0465602818085854e-11,4.756578827308844e-83,5.105206707255445e-187,2.1108133707987578e-06,High-Usage Primary Creators | Rim Pressure Drivers,1.7626559595535707,4.875247175136332,4,15.040803413933139,99.3119408605861,4.0,3.0,role_shifting_materially
1890,Shawn Marion,1999,4,Scoring Bigs / Two-Way Forwards,4.704683201427508,0,7.280503354844897,0,10.613872495149538,0,9.899103381782536,0,13.70100460116477,1,4.704683201427508,7.319241555382359,2.4682798338363816,1.4332360437891318,0.7488073255627509,-0.0073929068013933,-0.5480570866894471,-2.7267646222379085,0.395685568763105,-0.3279614027525305,-1.0321251964721982,-1.7853740150302717,-0.2941911875910475,-0.1876733627518,0.4662970092218713,0.0378216403037485,0.5434058479989368,0.9282177606797036,-0.9324972411828653,1.1708124619733131,0.4697691379383486,0.4229019503700429,-0.999661213317077,-1.0329857042441444,-0.0724754043356436,Scoring Bigs / Two-Way Forwards,4.704683201427508,2.575820153417389,0.6462030126387787,1999.0,4.0,4485.0,shot_volume_x_mild_recency_weighted_mean,7.719621427083605,-16.237817111548328,-7.952650910055009,21.29077271180594,15.200881363120171,-11.035633517311314,8.38516491433334,-2.120966144861937,3.817104524860954,1.939141987521498,12.24990419038337,20.233975443365296,4.194461667018803,-11.424333278781166,-11.525065966612686,-0.458722128408166,4.697800026870574,20.36383506998685,3.2036746957981914,-15.49410140243836,-16.891758222329816,10.162759574997006,-19.084541833491507,-13.357228554376617,0.0,Rim Pressure Drivers,0.9998923552539316,0.0011630840800432,0.9998923552539316,2.293551554617901e-34,6.579015137884845e-05,3.841801703930739e-14,4.185459465444207e-05,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,2.94158539361789,4.29164424979455,4,43.5432041021936,57.362644796153745,4.0,1.0,role_shifting_materially
1891,Jason Terry,1999,0,High-Usage Primary Creators,4.097239123834482,1,4.097239123834482,0,13.597420694501023,0,10.008692377467703,0,14.845610695533676,0,8.453897844819934,9.16244624976038,-3.5041285333060195,-1.1478372325240371,0.719886614626088,0.8313648108084261,1.346437976539107,-1.4420642900059653,0.3376801044148755,-0.0418422248064605,0.2042409563116791,0.6020808313000634,-0.4212685317967919,-0.3843397882084501,-0.8023635020618918,-1.1117634578268705,0.9926743946915192,-0.2868813885986305,0.1416771135625343,-0.4285628328219316,0.5530363104488808,0.2724870871118377,0.5271538664854026,0.357122463866302,0.2402774507488459,High-Usage Primary Creators,4.097239123834482,4.356658720985452,0.4846568055403031,1999.0,4.0,4324.0,shot_volume_x_mild_recency_weighted_mean,1.9406455422326496,-9.29954632958749,-9.340129297438454,18.019598043977147,10.669843790900371,-7.115026559983728,8.231260454303904,-3.5541173151152865,3.7036141095850734,-1.976449344354945,5.671993507087425,17.08185618170116,5.74798694265901,-0.7050955988873484,0.4802897710411826,-7.785538527283574,-0.2273736439338941,16.842426326127704,0.8597889049006184,-13.364164890246595,-15.262120115415648,4.444887660044125,-16.24499600708195,-0.5176668724975466,0.0,Rim Pressure Drivers,0.9999970193307788,4.09048003915224e-05,0.9999970193307788,2.9806692201089893e-06,0.0,0.0,3.813136915743304e-18,High-Usage Primary Creators | Rim Pressure Drivers,2.1784985644296935,6.013515644962144,4,28.18942988549049,107.17794266575513,4.0,2.0,role_shifting_materially
