PLAYER_ID,PLAYER_NAME,draft_year,box_role_y1_to_y4_displacement,box_role_total_path_length,observed_boxscore_seasons
1882,Elton Brand,1999,1.847823123921527,4.107794904020296,4
1883,Steve Francis,1999,1.629567619049789,3.921583714016271,4
1884,Baron Davis,1999,3.426746402535297,5.478793539587519,4
1885,Lamar Odom,1999,1.5009710247797965,4.210715047876137,4
1886,Jonathan Bender,1999,4.641613741112536,7.83760225181506,4
1887,Wally Szczerbiak,1999,1.899354880246325,2.9866981030679822,4
1888,Richard Hamilton,1999,3.2197623586199517,4.799431220517413,4
1889,Andre Miller,1999,1.7626559595535707,4.875247175136332,4
1890,Shawn Marion,1999,2.94158539361789,4.29164424979455,4
1891,Jason Terry,1999,2.1784985644296935,6.013515644962144,4
1892,Trajan Langdon,1999,,3.310888336790566,3
1893,Aleksandar Radojevic,1999,,,1
1894,Corey Maggette,1999,2.363982333949257,5.054301709581541,4
1895,William Avery,1999,,3.272758413237879,3
1897,Metta World Peace,1999,1.5794812179364657,4.15888376510695,4
1898,Cal Bowdler,1999,,4.319934097906637,3
1899,James Posey,1999,1.4004379240909326,3.560347472021327,4
1900,Quincy Lewis,1999,,2.4922085024872342,3
1901,Dion Glover,1999,2.3616861527191233,5.0535015494952615,4
1902,Jeff Foster,1999,7.173540035907664,9.957775158443281,4
1903,Kenny Thomas,1999,1.4617818326561667,6.01352915817866,4
1904,Devean George,1999,3.409615447343152,5.035652383962613,4
1905,Andrei Kirilenko,1999,,0.7951088572435477,2
1906,Tim James,1999,,10.55375504443601,3
1907,Vonteego Cummings,1999,,3.204959307556585,3
1908,Jumaine Jones,1999,5.0267774834649535,6.803050757541556,4
1909,Scott Padgett,1999,1.536759329256017,7.892458336218074,4
1910,Leon Smith,1999,,,1
1911,John Celestand,1999,,,1
1913,Michael Ruffin,1999,,5.951689362116779,3
1914,Chris Herren,1999,,2.182177358130191,2
1915,Evan Eschmeyer,1999,4.101774644732631,7.771059654727236,4
1916,Calvin Booth,1999,2.8682502920427937,7.446142799993961,4
1917,Wang Zhi-zhi,1999,,6.943651843201716,3
1918,Obinna Ekezie,1999,,4.299496937231208,3
1919,Laron Profit,1999,,2.6325339444968265,2
1920,A.J. Bramlett,1999,,,1
1921,Gordan Giricek,1999,,,1
1924,Lee Nailon,1999,,5.099607657824687,3
1926,Ryan Robertson,1999,,,1
1928,Todd MacCulloch,1999,1.8148572334135014,5.453175872770075,4
1930,Lari Ketner,1999,,,2
1934,Rodney Buford,1999,,3.7635490835113163,3
1937,Tim Young,1999,,,1
1938,Manu Ginobili,1999,,,1
2030,Kenyon Martin,2000,2.1737792275578123,4.188213211642698,4
2031,Stromile Swift,2000,2.935770996513868,4.53596411489646,4
2032,Darius Miles,2000,2.0821919187435607,4.45897112420457,4
2033,Marcus Fizer,2000,2.1020343330092706,3.8417419383777283,4
2034,Mike Miller,2000,1.8794000186675135,3.6721225247285343,4
2035,DerMarr Johnson,2000,1.624242235431308,3.217562410450279,3
2036,Chris Mihm,2000,1.514142876271338,3.826819558681869,4
2037,Jamal Crawford,2000,3.907393844745255,5.810018015915932,4
2038,Joel Przybilla,2000,3.7868080239380544,7.421674844661328,4
2039,Keyon Dooling,2000,2.1867801578001353,6.497024143833982,4
2040,Jerome Moiso,2000,4.3145196087886495,12.628561772494173,4
2041,Etan Thomas,2000,,4.425667338452598,3
2042,Courtney Alexander,2000,,2.3774759565377,3
2043,Mateen Cleaves,2000,4.116919015067485,15.398440985315695,4
2044,Jason Collier,2000,2.9044626754894405,8.930781525796661,4
2045,Hedo Turkoglu,2000,1.4750499249222147,4.8932664796168694,4
2046,Desmond Mason,2000,3.982607558932704,5.549105869946632,4
2047,Quentin Richardson,2000,2.401425138287345,5.078131002048621,4
2048,Jamaal Magloire,2000,2.9896441079299287,7.42495520839196,4
2049,Speedy Claxton,2000,,3.459341509536527,3
2050,Morris Peterson,2000,2.6839630987119825,4.82338952425248,4
2051,Donnell Harvey,2000,5.77567617654908,10.350238674300531,4
2052,DeShawn Stevenson,2000,3.384180767718013,6.987844641261781,4
2053,Dalibor Bagaric,2000,,4.700817753242465,3
2054,Jake Tsakalidis,2000,1.4340955408253213,3.1836045523639536,4
2055,Mamadou N'diaye,2000,5.568228266397119,12.99402652030001,4
2056,Primoz Brezec,2000,,6.90844264536789,3
2057,Erick Barkley,2000,,5.6148467096537376,2
2058,Mark Madsen,2000,2.0422607594137436,4.148990112851794,4
2059,Eduardo Najera,2000,1.5278092449059193,5.425986119666922,4
2060,Marko Jaric,2000,,1.901217422064586,2
2061,Dan Langhi,2000,2.6815756722486794,7.401229528468034,4
2062,A.J. Guyton,2000,,12.008456618193124,3
2063,Jake Voskuhl,2000,2.63880343712424,5.364176906894558,4
2064,Khalid El-Amin,2000,,,1
2065,Mike Smith,2000,,,1
2066,Soumaila Samake,2000,,3.519398719484686,2
2067,Eddie House,2000,2.7972716655494705,3.745570647453613,4
2068,Lavor Postell,2000,,5.8553177641501115,3
2069,Hanno Mottola,2000,,1.3449982083922756,2
2071,Olumide Oyedeji,2000,,4.095560246985073,3
2072,Michael Redd,2000,4.6999372057176965,8.448207498168843,4
2073,Brian Cardinal,2000,3.61426024016572,15.29021718743537,4
2074,Jabari Smith,2000,3.9010106874527293,5.764630487875211,3
2078,Jason Hart,2000,,7.802908947406009,2
2079,Kaniel Dickens,2000,,,1
2080,Igor Rakocevic,2000,,,1
2081,Ernest Brown,2000,,,1
2082,Dan McClintock,2000,,,1
2084,Chris Porter,2000,,,1
2198,Kwame Brown,2001,1.7104961510592636,4.324542432537501,4
2199,Tyson Chandler,2001,1.9166652628327614,4.594899387720221,4
2200,Pau Gasol,2001,1.536833772263044,2.9277493423366456,4
2201,Eddy Curry,2001,2.694254278629193,4.48399267266097,4
2202,Jason Richardson,2001,2.017775093289246,3.4697148803071256,4
2203,Shane Battier,2001,1.7638433984429314,4.998283846006502,4
2204,Eddie Griffin,2001,1.3543820856468007,3.093188120123438,3
2205,DeSagana Diop,2001,3.2983489867698377,6.541137245631761,4
2206,Rodney White,2001,2.7268031288885397,7.304217604099354,4
2207,Joe Johnson,2001,2.4347069716672416,4.204706968929798,4
2208,Kedrick Brown,2001,8.729027832902425,14.46058628040069,4
2209,Vladimir Radmanovic,2001,1.8262939040751784,2.6425867691501628,4
2210,Richard Jefferson,2001,3.55620671467759,4.918332853320381,4
2211,Troy Murphy,2001,2.9122883061438953,5.929363353924496,4
2212,Steven Hunter,2001,1.9842673435387412,6.335273424698757,4
2213,Kirk Haston,2001,,5.88770041044855,2
2214,Michael Bradley,2001,1.9062835686729953,8.643654286805091,4
2215,Jason Collins,2001,2.025137858610168,3.613920573808294,4
2216,Zach Randolph,2001,3.3357724188843476,5.486897891131356,4
2217,Brendan Haywood,2001,1.8584035308194768,4.311545476876418,4
2218,Joseph Forte,2001,,3.021679806801564,2
2219,Jeryl Sasser,2001,,4.715375059505723,2
2220,Brandon Armstrong,2001,,3.960332085752957,3
2221,Raul Lopez,2001,,1.8293611321420304,2
2222,Gerald Wallace,2001,3.4980357101464947,9.194435243722971,4
2223,Samuel Dalembert,2001,2.7664690962851846,5.0860829884139145,3
2224,Jamaal Tinsley,2001,2.7367609773693062,7.040745783563242,4
2225,Tony Parker,2001,2.933013255541311,4.076117175614112,4
2226,Will Solomon,2001,,,1
2228,Alton Ford,2001,,6.5427070619966265,3
2238,Antonis Fotsis,2001,,,1
2239,Trenton Hassell,2001,1.7802579259629125,5.326763815173335,4
2240,Gilbert Arenas,2001,3.4225874307777913,5.4448505405185585,4
2241,Omar Cook,2001,,4.710651053592595,2
2242,Terence Morris,2001,,1.2815580764570262,2
2243,Brian Scalabrine,2001,1.9340155271122983,4.141535718399304,4
2244,Jeff Trepagnier,2001,,9.23093796527019,3
2245,Damone Brown,2001,3.4664104393565536,21.346821923352618,4
2246,Mehmet Okur,2001,,3.30150919319967,3
2248,Earl Watson,2001,3.008942204492022,5.167076776645388,4
2249,Jamison Brewer,2001,4.457063706212118,10.824253030040566,4
2250,Bobby Simmons,2001,3.2040498641135344,6.074239655080093,4
2253,Sean Lampley,2001,,2.964729675467189,2
2254,Loren Woods,2001,2.579851568685243,5.9108134616588455,4
2256,Ken Johnson,2001,,,1
2257,Ruben Boumtje-Boumtje,2001,,27.49796655730111,3
2260,Jarron Collins,2001,2.0533418080621293,4.422390591294111,4
2261,Kenny Satterfield,2001,,2.02443342840847,2
2264,Alvin Jones,2001,,,1
2397,Yao Ming,2002,2.8808849286330984,3.920943708658993,4
2398,Jay Williams,2002,,,1
2399,Mike Dunleavy,2002,2.1419457228101857,4.168656230890463,4
2400,Drew Gooden,2002,2.490689049842463,3.8769731060404915,4
2401,Nikoloz Tskitishvili,2002,3.636073998757386,9.633183907438166,4
2402,Dajuan Wagner,2002,,4.922834618847093,3
2403,Nene,2002,20.782837210064894,23.749758825874586,4
2404,Chris Wilcox,2002,1.5893205843128735,4.455358278672742,4
2405,Amar'e Stoudemire,2002,4.158785483146718,9.152445826920214,4
2406,Caron Butler,2002,1.050441810422627,5.253459437476972,4
2407,Jared Jeffries,2002,1.502688447054086,3.551907448933083,4
2408,Melvin Ely,2002,2.454688285487212,4.971502955433868,4
2409,Marcus Haislip,2002,,4.726780538122189,3
2410,Fred Jones,2002,3.637377047641917,6.1422790743441364,4
2411,Bostjan Nachbar,2002,2.5328219676427803,6.673160227457208,4
2412,Jiri Welsch,2002,2.7342252808366916,6.374667661080315,4
2413,Juan Dixon,2002,1.7353837577233144,3.9903397754488887,4
2414,Curtis Borchardt,2002,,1.3382800877450425,2
2415,Ryan Humphrey,2002,,13.635458617220841,3
2416,Kareem Rush,2002,3.3410270431443836,4.836749949004626,4
2417,Qyntel Woods,2002,2.748270774796733,12.67814307986546,4
2418,Casey Jacobsen,2002,,3.7395049476549174,3
2419,Tayshaun Prince,2002,3.4059656757577863,5.194501835116422,4
2420,Nenad Krstic,2002,,1.5047889250556994,2
2421,Frank Williams,2002,,7.560041139783145,3
2422,John Salmons,2002,2.0978550071006836,5.120472213614919,4
2423,Chris Jefferies,2002,,2.8799755488532597,2
2424,Dan Dickau,2002,3.065099515844468,9.080272852855098,4
2425,Robert Archibald,2002,,5.76404783437377,2
2427,Roger Mason Jr.,2002,,2.1904884886278975,2
2428,Vincent Yarbrough,2002,,,1
2429,Dan Gadzuric,2002,3.2089409821208843,6.621352083776406,4
2430,Carlos Boozer,2002,2.3593283703979577,4.217673513804991,4
2432,Tito Maddox,2002,,,1
2435,Mario Kasun,2002,,1.868492298081621,2
2436,Flip Murray,2002,4.530533974060372,7.071737343088519,4
2437,Lonny Baxter,2002,,8.769467403990223,3
2440,Matt Barnes,2002,,2.5450013335607062,3
2441,Jamal Sampson,2002,11.871564756469498,16.33494237814299,4
2442,Chris Owens,2002,,,1
2443,Darius Songaila,2002,,3.0627859436755913,3
2446,Rasual Butler,2002,1.4530333463977883,5.04475636103457,4
2447,Tamar Slay,2002,,5.046212807167549,3
2450,Randy Holcomb,2002,,,1
2451,Corsley Edwards,2002,,,1
2544,LeBron James,2003,2.2088264105294186,4.655265716617131,4
2545,Darko Milicic,2003,3.8457984215128556,8.6356183817742,4
2546,Carmelo Anthony,2003,2.6233356584856224,4.165748286231956,4
2547,Chris Bosh,2003,4.129035541067548,4.750698804083289,4
2548,Dwyane Wade,2003,4.69396727222074,5.802627000217644,4
2549,Chris Kaman,2003,1.6810652436278029,3.800419173137197,4
2550,Kirk Hinrich,2003,1.9426905785632154,3.5371133309620255,4
2551,T.J. Ford,2003,3.2112690484693185,4.64951123390968,3
2552,Michael Sweetney,2003,2.730296774479037,5.827183180602847,4
2553,Jarvis Hayes,2003,1.5094435950125922,2.5926434287210953,4
2554,Mickael Pietrus,2003,1.981797574617346,5.127357778287754,4
2555,Nick Collison,2003,,2.1737588177171268,3
2556,Marcus Banks,2003,1.909777971596452,7.178915682090082,4
2557,Luke Ridnour,2003,1.6335566629471971,4.170193736244619,4
2558,Reece Gaines,2003,,4.876649362414019,3
2559,Troy Bell,2003,,,1
2560,Zarko Cabarkapa,2003,,4.285506491257362,3
2561,David West,2003,4.2019277628201435,5.621808889617574,4
2562,Sasha Pavlovic,2003,1.6571723786211603,4.905282947207112,4
2563,Dahntay Jones,2003,3.796977992177602,7.281359314487916,4
2564,Boris Diaw,2003,2.654532511106964,6.384003181927315,4
2565,Zoran Planinic,2003,,4.053258607722809,3
2566,Travis Outlaw,2003,4.086664302222294,7.448790252445358,4
2567,Brian Cook,2003,2.2115043465593045,6.509917125188128,4
2568,Carlos Delfino,2003,,3.4593900023586865,3
2569,Ndudi Ebi,2003,,6.681166634665354,2
2570,Kendrick Perkins,2003,7.932640570973624,9.348630199841093,4
