PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
1882,Elton Brand,1999,1,1999-00,81,1306,630,0.48238897396630936,1,0
1882,Elton Brand,1999,2,2000-01,74,1216,578,0.4753289473684211,1,0
1882,Elton Brand,1999,3,2001-02,80,1010,532,0.5267326732673268,1,0
1882,Elton Brand,1999,4,2002-03,62,899,451,0.5016685205784205,1,0
1883,Steve Francis,1999,1,1999-00,77,1117,497,0.4449418084153984,1,0
1883,Steve Francis,1999,2,2000-01,80,1214,549,0.45222405271828664,1,0
1883,Steve Francis,1999,3,2001-02,57,1002,420,0.41916167664670656,1,0
1883,Steve Francis,1999,4,2002-03,81,1306,571,0.43721286370597245,1,0
1884,Baron Davis,1999,1,1999-00,82,432,182,0.4212962962962963,1,0
1884,Baron Davis,1999,2,2000-01,82,954,408,0.4276729559748428,1,0
1884,Baron Davis,1999,3,2001-02,82,1335,559,0.41872659176029964,1,0
1884,Baron Davis,1999,4,2002-03,50,796,332,0.41708542713567837,1,0
1885,Lamar Odom,1999,1,1999-00,76,1022,449,0.43933463796477495,1,0
1885,Lamar Odom,1999,2,2000-01,75,1045,481,0.4602870813397129,1,0
1885,Lamar Odom,1999,3,2001-02,29,360,151,0.41944444444444445,1,0
1885,Lamar Odom,1999,4,2002-03,49,610,268,0.43934426229508194,1,0
1886,Jonathan Bender,1999,1,1999-00,22,70,23,0.32857142857142857,1,0
1886,Jonathan Bender,1999,2,2000-01,47,185,66,0.3567567567567568,1,0
1886,Jonathan Bender,1999,3,2001-02,78,460,198,0.43043478260869567,1,0
1886,Jonathan Bender,1999,4,2002-03,44,254,112,0.4409448818897638,1,0
1887,Wally Szczerbiak,1999,1,1999-00,73,669,342,0.5112107623318386,1,0
1887,Wally Szczerbiak,1999,2,2000-01,82,919,469,0.5103373231773667,1,0
1887,Wally Szczerbiak,1999,3,2001-02,82,1199,609,0.5079232693911593,1,0
1887,Wally Szczerbiak,1999,4,2002-03,52,729,351,0.48148148148148145,1,0
1888,Richard Hamilton,1999,1,1999-00,70,605,254,0.41983471074380163,1,0
1888,Richard Hamilton,1999,2,2000-01,78,1249,547,0.4379503602882306,1,0
1888,Richard Hamilton,1999,3,2001-02,63,1083,472,0.4358264081255771,1,0
1888,Richard Hamilton,1999,4,2002-03,82,1286,570,0.4432348367029549,1,0
1889,Andre Miller,1999,1,1999-00,82,754,339,0.4496021220159151,1,0
1889,Andre Miller,1999,2,2000-01,82,987,451,0.4569402228976697,1,0
1889,Andre Miller,1999,3,2001-02,81,1037,474,0.4570877531340405,1,0
1889,Andre Miller,1999,4,2002-03,80,921,377,0.40933767643865365,1,0
1890,Shawn Marion,1999,1,1999-00,51,471,222,0.4713375796178344,1,0
1890,Shawn Marion,1999,2,2000-01,79,1157,557,0.4814174589455488,1,0
1890,Shawn Marion,1999,3,2001-02,81,1393,654,0.4694903086862886,1,0
1890,Shawn Marion,1999,4,2002-03,81,1464,662,0.4521857923497268,1,0
1891,Jason Terry,1999,1,1999-00,79,598,248,0.41471571906354515,1,0
1891,Jason Terry,1999,2,2000-01,82,1367,596,0.4359912216532553,1,0
1891,Jason Terry,1999,3,2001-02,77,1219,524,0.4298605414273995,1,0
1891,Jason Terry,1999,4,2002-03,81,1140,488,0.4280701754385965,1,0
1892,Trajan Langdon,1999,1,1999-00,6,40,15,0.375,1,0
1892,Trajan Langdon,1999,2,2000-01,60,313,135,0.43130990415335463,1,0
1892,Trajan Langdon,1999,3,2001-02,40,175,70,0.4,1,0
1893,Aleksandar Radojevic,1999,1,1999-00,2,7,2,0.2857142857142857,0,1
1894,Corey Maggette,1999,1,1999-00,77,468,224,0.47863247863247865,1,0
1894,Corey Maggette,1999,2,2000-01,68,487,225,0.4620123203285421,1,0
