PLAYER_ID,PLAYER_NAME,neighbor_rank,neighbor_player_id,neighbor_player_name,embedding_distance
1882,Elton Brand,1,2216,Zach Randolph,9.964561873824094
1882,Elton Brand,2,2030,Kenyon Martin,10.525572713223177
1882,Elton Brand,3,200768,Kyle Lowry,11.820810598188961
1882,Elton Brand,4,2736,Luol Deng,11.928521903700005
1882,Elton Brand,5,2397,Yao Ming,11.959157989473653
1883,Steve Francis,1,1884,Baron Davis,11.142008902528817
1883,Steve Francis,2,1885,Lamar Odom,12.284175660700596
1883,Steve Francis,3,2572,Josh Howard,12.581951750623059
1883,Steve Francis,4,2571,Leandro Barbosa,12.696574981675857
1883,Steve Francis,5,101114,Deron Williams,12.905153528055207
1884,Baron Davis,1,200776,Mardy Collins,10.181470888726507
1884,Baron Davis,2,1885,Lamar Odom,11.03319941189355
1884,Baron Davis,3,1883,Steve Francis,11.142008902528817
1884,Baron Davis,4,2033,Marcus Fizer,11.148502334292337
1884,Baron Davis,5,101114,Deron Williams,11.238325724140672
1885,Lamar Odom,1,1899,James Posey,9.433619668405747
1885,Lamar Odom,2,2246,Mehmet Okur,10.02379348840317
1885,Lamar Odom,3,2547,Chris Bosh,10.330998135255218
1885,Lamar Odom,4,1884,Baron Davis,11.03319941189355
1885,Lamar Odom,5,2551,T.J. Ford,11.170775314082636
1886,Jonathan Bender,1,203081,Damian Lillard,10.267677965302315
1886,Jonathan Bender,2,201978,Chase Budinger,10.47118571850907
1886,Jonathan Bender,3,204001,Kristaps Porziņģis,10.699779110811582
1886,Jonathan Bender,4,202720,Jon Leuer,11.239091170806457
1886,Jonathan Bender,5,203484,Kentavious Caldwell-Pope,11.28596456480523
1887,Wally Szczerbiak,1,2034,Mike Miller,9.419147641873117
1887,Wally Szczerbiak,2,101128,Francisco Garcia,10.30056042509955
1887,Wally Szczerbiak,3,2211,Troy Murphy,11.153857334844224
1887,Wally Szczerbiak,4,2240,Gilbert Arenas,11.30953324681963
1887,Wally Szczerbiak,5,2072,Michael Redd,11.671935538172693
1888,Richard Hamilton,1,101123,Gerald Green,7.760610107667295
1888,Richard Hamilton,2,2413,Juan Dixon,8.137700475787806
1888,Richard Hamilton,3,200763,Quincy Douby,8.308784445951382
1888,Richard Hamilton,4,2553,Jarvis Hayes,8.545337647994728
1888,Richard Hamilton,5,2557,Luke Ridnour,9.17649674880974
1889,Andre Miller,1,201970,Sam Young,12.283415747802517
1889,Andre Miller,2,200762,Oleksiy Pecherov,12.672130854087499
1889,Andre Miller,3,1908,Jumaine Jones,12.950920313384026
1889,Andre Miller,4,101158,Orien Greene,13.316655388106854
1889,Andre Miller,5,101155,Ryan Gomes,13.41994133209556
1890,Shawn Marion,1,2046,Desmond Mason,7.097782667549206
1890,Shawn Marion,2,200746,LaMarcus Aldridge,7.146762255345892
1890,Shawn Marion,3,2422,John Salmons,8.320584875502089
1890,Shawn Marion,4,200760,Rodney Carney,8.585580987130818
1890,Shawn Marion,5,101109,Raymond Felton,8.723328680007553
1891,Jason Terry,1,200755,JJ Redick,16.147391794242225
1891,Jason Terry,2,2399,Mike Dunleavy,16.389126209309786
1891,Jason Terry,3,2550,Kirk Hinrich,16.444799803378498
1891,Jason Terry,4,2220,Brandon Armstrong,16.518115514415307
1891,Jason Terry,5,200762,Oleksiy Pecherov,16.741085628478956
1892,Trajan Langdon,1,201156,Nick Young,7.9887530312923865
1892,Trajan Langdon,2,2062,A.J. Guyton,8.935477192047301
1892,Trajan Langdon,3,1626199,Darrun Hilliard,11.609338210133574
1892,Trajan Langdon,4,201948,Austin Daye,13.81519713931803
1892,Trajan Langdon,5,201164,Rudy Fernandez,13.925313575993073
1894,Corey Maggette,1,101132,Linas Kleiza,6.863563283359033
1894,Corey Maggette,2,101120,Antoine Wright,8.92401597561534
1894,Corey Maggette,3,2738,Andre Iguodala,9.088259414649167
1894,Corey Maggette,4,101121,Joey Graham,9.15925533530619
1894,Corey Maggette,5,2568,Carlos Delfino,10.30997826659301
1895,William Avery,1,2768,Chris Duhon,11.127757998876987
