tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
0,1882,Elton Brand,1999,1,1999-00,81,1306,630,0.4823889739663093,draft,13.931679,-18.116089,-9.872948,23.60271,18.874002,-17.963865,10.04664,2.3725505,3.5646482,7.199823,23.755804,19.166683,6.7254086,-15.780021,-18.115353,1.6693726,8.782402,26.2038,-0.19954515,-21.819532,-10.745978,19.298182,-21.81876,-18.657698
1,1882,Elton Brand,1999,2,2000-01,74,1216,578,0.4753289473684211,draft,14.445731,-21.727245,-4.5978117,27.480156,15.609479,-7.883848,9.879541,-14.852725,2.4928305,-3.815099,18.895695,14.268177,-1.7200775,-12.362837,-20.304691,-2.0168772,5.786319,28.060226,-0.4562142,-19.435877,-15.347354,19.135963,-21.24056,-15.746381
2,1882,Elton Brand,1999,3,2001-02,80,1010,532,0.5267326732673268,draft,15.098583,-24.661957,-11.430015,28.704758,21.10703,-17.092037,15.972498,-8.1460905,1.898881,6.6238394,24.534319,27.776379,4.698121,-19.451826,-22.889889,2.11734,9.565313,36.173054,-0.1993041,-23.056458,-20.684341,19.680935,-28.834438,-25.502708
3,1882,Elton Brand,1999,4,2002-03,62,899,451,0.5016685205784205,draft,17.868118,-19.868454,-11.079256,25.950457,23.575333,-23.32198,14.066988,0.97223485,1.1709378,10.536907,27.711163,28.30589,9.210531,-20.700739,-23.596893,2.149274,10.474968,36.365265,-3.4826202,-25.400541,-14.872129,22.39174,-29.913532,-25.441555
4,1883,Steve Francis,1999,1,1999-00,77,1117,497,0.4449418084153984,draft,8.891062,-14.359554,-14.549244,34.120785,24.053051,-18.21807,21.301086,-1.6646532,-6.8950973,6.058166,15.967478,28.31678,12.148273,-3.9507241,-9.880356,-0.9645499,2.3328235,36.269295,-7.136347,-20.0601,-19.693338,15.338831,-23.650415,-8.51196
5,1883,Steve Francis,1999,2,2000-01,80,1214,549,0.4522240527182866,draft,6.523132,-9.960428,-15.509598,25.506466,19.706062,-18.579086,10.732101,-8.432108,2.370592,8.489433,11.35726,28.728848,12.816891,-8.938022,-6.6852627,-4.175654,4.517053,30.095291,3.0225995,-19.006395,-18.499653,14.5295315,-25.441322,-9.455551
6,1883,Steve Francis,1999,3,2001-02,57,1002,420,0.4191616766467065,draft,11.738212,-16.798573,-6.920095,28.800617,23.256315,-10.666454,13.037983,-3.2107618,0.4209311,1.9684024,14.650527,20.726936,5.391689,-10.518778,-14.962089,1.4644754,4.7823887,23.438606,-7.4440856,-14.611365,-21.594437,11.8665695,-20.017029,-15.081167
7,1883,Steve Francis,1999,4,2002-03,81,1306,571,0.4372128637059724,draft,10.75538,-12.219029,-11.836599,31.187887,26.746367,-19.462578,10.105082,-7.0523043,-4.6144643,1.4771838,15.879095,27.012877,6.177286,-17.190357,-15.235151,-1.8552353,5.77277,33.826054,-2.3872619,-19.457916,-22.000778,20.43024,-26.73405,-12.011321
8,1884,Baron Davis,1999,1,1999-00,82,432,182,0.4212962962962963,draft,16.242126,-21.376427,-10.451143,31.868706,27.725977,-20.72604,11.850178,-1.3096303,0.2211299,9.709363,24.223454,22.461853,5.7767463,-15.2652645,-20.376265,6.246934,6.9751954,32.357513,-7.2042055,-18.307737,-15.297666,22.283974,-22.294239,-18.20475
9,1884,Baron Davis,1999,2,2000-01,82,954,408,0.4276729559748428,draft,13.439386,-17.263037,-8.182426,29.310425,26.169357,-17.935818,12.677183,-2.2414713,-2.7606082,3.9656448,18.539795,24.121265,3.412406,-16.162315,-17.706312,2.649941,5.35563,31.10889,-3.414784,-18.544277,-17.786572,19.423553,-24.834175,-16.647987
