PLAYER_ID,PLAYER_NAME,player_name_key,draft_year,INPUT_SEASON,FORECAST_SEASON,predicted_class,actual_class,label_known,is_correct,sleeper_probability,neutral_probability,bust_probability,confidence_rating,confidence_score,uncertainty_proxy,holdout_split_tag,actual_years5_7_perf_score_component_mean,predicted_years5_7_perf_score_component_mean,performance_pred_error_component_mean,actual_scoring_metric_score,actual_efficiency_metric_score,actual_playmaking_metric_score,actual_defense_metric_score,actual_control_metric_score,predicted_scoring_metric_score,predicted_efficiency_metric_score,predicted_playmaking_metric_score,predicted_defense_metric_score,predicted_control_metric_score,actual_years5_7_games_avg,actual_years5_7_minutes_avg,actual_years5_7_points_avg,actual_years5_7_rebounds_avg,actual_years5_7_assists_avg,boxscore_target_support_flag,performance_test_prediction_available,identity_source,classification_support_flag,forecast_support_flag,block1_ready_flag,deliverable3_block1_note
,AJ Green,aj green,,,,Bust,,0,,0.011368254,0.17695285,0.8116788,High,0.8116788,0.18832119999999997,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,AJ Price,aj price,,,,Bust,,0,,0.0070820637,0.12175346,0.87116444,High,0.87116444,0.12883555999999996,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Aaron Brooks,aaron brooks,,,,Neutral,Bust,1,0.0,0.10795064,0.614454,0.27759534,Medium,0.614454,0.38554600000000006,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
203932.0,Aaron Gordon,aaron gordon,2014,2014-2018,2018-2021,Neutral,Neutral,1,1.0,0.06196367,0.90491176,0.033124562,High,0.90491176,0.09508824000000005,Train,43.73941966492163,,,45.46540826611322,38.26703155473144,40.98607018673438,51.78002555884049,42.19856275818858,,,,,,63.333333333333336,2011.1522219999997,919.3333333333334,444.3333333333333,226.0,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
201189.0,Aaron Gray,aaron gray,2006,2007-2011,2011-2014,Bust,Bust,1,1.0,0.004880617,0.1628888,0.83223057,High,0.83223057,0.16776943,Test,23.851873892824205,33.7083454,9.856470999999996,9.03237615949932,31.99703709664348,7.540641683772795,0.0,70.68931452420543,35.473934,39.90371,29.500986,38.34663,25.316467,26.333333333333332,289.2388889,61.333333333333336,81.33333333333333,18.333333333333332,ok,1.0,player_id_all_stats,label_known,test_prediction_available,ready_for_name_or_id_merge,classification probabilities plus test-set performance forecast available
1628988.0,Aaron Holiday,aaron holiday,2018,2018-2022,2022-2025,Bust,Bust,1,1.0,0.020459432,0.21193519,0.76760536,High,0.76760536,0.23239463999999999,Test,35.468855155706606,37.7829024,2.314047539999997,33.2819345607353,55.94258814283511,46.00021526621367,34.39191034209742,7.727627466651528,39.692978,44.630966,33.02389,43.24541,28.321268,67.66666666666667,968.9333334666667,367.0,91.66666666666667,104.0,ok,1.0,player_id_all_stats,label_known,test_prediction_available,ready_for_name_or_id_merge,classification probabilities plus test-set performance forecast available
,Aaron McKie,aaron mckie,,,,Neutral,,0,,0.004726614,0.9599563,0.03531705,High,0.9599563,0.040043700000000015,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Aaron Nesmith,aaron nesmith,,,,Bust,,0,,0.0016143034,0.17125593,0.8271298,High,0.8271298,0.17287019999999997,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Aaron Wiggins,aaron wiggins,,,,Neutral,,0,,0.04696475,0.6911628,0.26187244,Medium,0.6911628,0.30883720000000003,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Aaron Williams,aaron williams,,,,Neutral,Bust,1,0.0,0.00013288754,0.7985517,0.20131546,High,0.7985517,0.20144830000000002,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
