metric_group,framework_status,player_count
framework_status,block1_classification_overlay_only,518
framework_status,block2_only_provisional,401
framework_status,forecast_adjusted_supported_subset,139
staged_extension_stance,offer_now_disciplined_band,442
staged_extension_stance,wait_and_save_flexibility,370
staged_extension_stance,avoid_overcommitting,239
staged_extension_stance,offer_now,7
forecast_support_status,classification_or_truth_only,518
forecast_support_status,no_block1_support,401
forecast_support_status,test_prediction_available,139
