PLAYER_ID,PLAYER_NAME,draft_year,interim_guidance_title,interim_extension_bucket,interim_extension_label,macro_archetype,shot_style_subtype,hybrid_archetype_label,forecast_support_tier,forecast_outlook_bucket,forecast_confidence_proxy,forecast_performance_tier,comp_support_bucket,scarcity_tier,ambiguity_band,identity_drift_class,anchor_width_band,model_market_alignment_bucket,pricing_anchor_preference,market_anchor_supported_flag,protected_price_cap_pct,fair_price_cap_pct,walk_away_max_cap_pct,interim_open_cap_pct,interim_target_cap_pct,interim_hard_max_cap_pct,interim_open_pct_text,interim_target_pct_text,interim_hard_max_pct_text,market_anchor_band_text,interim_price_posture_text,interim_extension_reason,interim_guidance_summary_text,interim_status_text,realistic_comp_list,supporting_shot_style_explanation,block2_market_context_interpretation,holdout_for_case_study,holdout_reason,case_study_priority,interim_guidance_ready_flag
1882,Elton Brand,1999,Elton Brand — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,selective_premium,medium_ambiguity,role_shifting_materially,narrow,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.2070947787366032,0.2070947787366032,0.2155127877820834,0.2070947787366032,0.2070947787366032,0.2070947787366032,20.7%,20.7%,20.7%,"Protected around 0.207 of cap, fair around 0.207, walk-away max around 0.216.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the archetype can justify some premium, but only selectively; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.207 of cap, fair around 0.207, walk-away max around 0.216. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the archetype can justify some premium, but only selectively; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Kenyon Martin, Luol Deng, Yao Ming, Carlos Boozer, Zach Randolph",High-frequency perimeter shot makers and floor-spacing profiles.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.212 to 0.216 of cap, with a weighted midpoint near 0.215. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1883,Steve Francis,1999,Steve Francis — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,scarce,low_ambiguity,role_shifting_materially,balanced,above_walkaway,model_premium_vs_market_review,1,0.1312201772324471,0.163547081388785,0.2135857885615251,0.1312201772324471,0.163547081388785,0.163547081388785,13.1%,16.4%,16.4%,"Protected around 0.131 of cap, fair around 0.164, walk-away max around 0.214.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.131 of cap, fair around 0.164, walk-away max around 0.214. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Lamar Odom, Deron Williams, Leandro Barbosa, Jameer Nelson, Quentin Richardson",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.131 to 0.214 of cap, with a weighted midpoint near 0.132. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1884,Baron Davis,1999,Baron Davis — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,scarce,low_ambiguity,role_shifting_materially,wide,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.0719036491101923,0.114712395616611,0.2135857885615251,0.0719036491101923,0.114712395616611,0.114712395616611,7.2%,11.5%,11.5%,"Protected around 0.072 of cap, fair around 0.115, walk-away max around 0.214.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.072 of cap, fair around 0.115, walk-away max around 0.214. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.214 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1885,Lamar Odom,1999,Lamar Odom — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,moderate,scarce,medium_ambiguity,role_shifting_materially,narrow,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.1126516464471403,0.1583432735512024,0.1666666666666666,0.1126516464471403,0.1583432735512024,0.1583432735512024,11.3%,15.8%,15.8%,"Protected around 0.113 of cap, fair around 0.158, walk-away max around 0.167.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is moderate; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.113 of cap, fair around 0.158, walk-away max around 0.167. Offer now, but stay disciplined: comp support is moderate; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Steve Francis, James Posey, Mehmet Okur, T.J. Ford, Charlie Villanueva",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.113 to 0.167 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1886,Jonathan Bender,1999,Jonathan Bender — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,replaceable_middle,high_ambiguity,role_shifting_materially,balanced,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.035407125330614,0.0453275609327227,0.0583419591606285,0.035407125330614,0.0453275609327227,0.0453275609327227,3.5%,4.5%,4.5%,"Protected around 0.035 of cap, fair around 0.045, walk-away max around 0.058.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the role is useful but not scarce enough to overpay; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.035 of cap, fair around 0.045, walk-away max around 0.058. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the role is useful but not scarce enough to overpay; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Mike Scott, Jon Leuer, Jeremy Lamb, Fred Jones, Chris Singleton",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.035 to 0.058 of cap, with a weighted midpoint near 0.035. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1887,Wally Szczerbiak,1999,Wally Szczerbiak — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,scarce,high_ambiguity,role_shifting_materially,balanced,above_walkaway,model_premium_vs_market_review,1,0.0670277296360485,0.1112507675146425,0.1367677228174151,0.0670277296360485,0.1112507675146425,0.1112507675146425,6.7%,11.1%,11.1%,"Protected around 0.067 of cap, fair around 0.111, walk-away max around 0.137.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.067 of cap, fair around 0.111, walk-away max around 0.137. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Mike Miller, Gordan Giricek, Gilbert Arenas, Ryan Gomes, Francisco Garcia",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.067 to 0.137 of cap, with a weighted midpoint near 0.101. Comp-market support is high, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1888,Richard Hamilton,1999,Richard Hamilton — Wait and save flexibility,wait_and_save_flexibility,Wait and save flexibility,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,weak,scarce,medium_ambiguity,role_shifting_materially,narrow,above_walkaway,model_premium_vs_market_review,1,0.0479909664063235,0.0581319626630899,0.0692578044242299,0.0479909664063235,0.0479909664063235,0.0581319626630899,4.8%,4.8%,5.8%,"Protected around 0.048 of cap, fair around 0.058, walk-away max around 0.069.","Preserve optionality. The protected price is the only clean early anchor today, and the fair price should be reserved for later confirmation.","Wait and save flexibility: comp support is weak; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Wait and save flexibility. Protected around 0.048 of cap, fair around 0.058, walk-away max around 0.069. Wait and save flexibility: comp support is weak; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Juan Dixon, Gerald Green, O.J. Mayo, Quincy Douby, Aaron Brooks",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.048 to 0.069 of cap, with a weighted midpoint near 0.048. Comp-market support is low, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1889,Andre Miller,1999,Andre Miller — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,scarce,low_ambiguity,role_shifting_materially,wide,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.0391956373551465,0.1479790366199348,0.2022290131224159,0.0391956373551465,0.1479790366199348,0.1479790366199348,3.9%,14.8%,14.8%,"Protected around 0.039 of cap, fair around 0.148, walk-away max around 0.202.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.039 of cap, fair around 0.148, walk-away max around 0.202. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.039 to 0.202 of cap, with a weighted midpoint near 0.202. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1890,Shawn Marion,1999,Shawn Marion — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,strong,selective_premium,low_ambiguity,role_shifting_materially,balanced,above_walkaway,model_premium_vs_market_review,1,0.1248559306569343,0.134753979181723,0.1937151126731445,0.1248559306569343,0.134753979181723,0.134753979181723,12.5%,13.5%,13.5%,"Protected around 0.125 of cap, fair around 0.135, walk-away max around 0.194.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the archetype can justify some premium, but only selectively; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.125 of cap, fair around 0.135, walk-away max around 0.194. Offer now, but stay disciplined: comp support is strong; no forecast overlay is available, so the salary stance should stay conservative; the archetype can justify some premium, but only selectively; the baseline salary model sits above the current walk-away max, so the market band should not be expanded automatically; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","LaMarcus Aldridge, Desmond Mason, Metta World Peace, Josh Howard, Rodney Buford",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.125 to 0.194 of cap, with a weighted midpoint near 0.149. Comp-market support is high, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
1891,Jason Terry,1999,Jason Terry — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,no_forecast_overlay,forecast_unavailable,forecast_unavailable,forecast_unavailable,moderate,scarce,low_ambiguity,role_shifting_materially,wide,between_fair_and_walkaway,market_band_confirmed_by_model,1,0.0656100886162235,0.132209027100139,0.2022290131224159,0.0656100886162235,0.132209027100139,0.132209027100139,6.6%,13.2%,13.2%,"Protected around 0.066 of cap, fair around 0.132, walk-away max around 0.202.",Open from the protected side of the band and aim for fair value. Do not chase the full walk-away ceiling without stronger later evidence.,"Offer now, but stay disciplined: comp support is moderate; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Offer now at disciplined price. Protected around 0.066 of cap, fair around 0.132, walk-away max around 0.202. Offer now, but stay disciplined: comp support is moderate; no forecast overlay is available, so the salary stance should stay conservative; role scarcity supports acting earlier than usual; the baseline salary model supports the fair-to-upper part of the market band; drift remains role_shifting_materially; forecast confidence is forecast_unavailable.","Status: interim_with_current_D1_macro_forecast. This is not the final extension recommendation; durability / availability risk, richer uncertainty bands, and the fully locked Deliverable 1 merge table are still pending.","Kirk Hinrich, Delonte West, Mike Dunleavy, Luke Ridnour, Aaron Brooks",Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.066 to 0.202 of cap, with a weighted midpoint near 0.140. Comp-market support is low, and the early-career drift class is role_shifting_materially.",0,,full_cohort,True
