PLAYER_ID,PLAYER_NAME,provisional_action_bucket,provisional_action_label,holdout_for_case_study,holdout_reason,case_study_priority,decision_card_ready_flag
1920,A.J. Bramlett,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1893,Aleksandar Radojevic,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1889,Andre Miller,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1905,Andrei Kirilenko,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1884,Baron Davis,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1898,Cal Bowdler,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1916,Calvin Booth,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1914,Chris Herren,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1894,Corey Maggette,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1904,Devean George,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1901,Dion Glover,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1882,Elton Brand,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1915,Evan Eschmeyer,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1921,Gordan Giricek,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1899,James Posey,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1891,Jason Terry,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1902,Jeff Foster,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1911,John Celestand,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1886,Jonathan Bender,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1908,Jumaine Jones,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1903,Kenny Thomas,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1885,Lamar Odom,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1930,Lari Ketner,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1919,Laron Profit,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1924,Lee Nailon,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1910,Leon Smith,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1938,Manu Ginobili,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1897,Metta World Peace,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1913,Michael Ruffin,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1918,Obinna Ekezie,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1900,Quincy Lewis,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1888,Richard Hamilton,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1934,Rodney Buford,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1926,Ryan Robertson,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1909,Scott Padgett,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1890,Shawn Marion,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1883,Steve Francis,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1906,Tim James,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1937,Tim Young,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
1928,Todd MacCulloch,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1892,Trajan Langdon,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1907,Vonteego Cummings,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
1887,Wally Szczerbiak,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1917,Wang Zhi-zhi,offer_now_disciplined_band,Offer now at disciplined price,False,,full_cohort,True
1895,William Avery,avoid_overcommitting,Avoid overcommitting,False,,full_cohort,True
2062,A.J. Guyton,wait_and_save_flexibility,Wait and save flexibility,False,,full_cohort,True
