draft_year,total_players,matched_players,unmatched_players,match_rate
1999,45,30,15,0.6666666666666666
2000,50,34,16,0.68
2001,49,31,18,0.6326530612244898
2002,45,27,18,0.6
2003,46,31,15,0.6739130434782609
2004,46,26,20,0.5652173913043478
2005,54,35,19,0.6481481481481481
2006,50,26,24,0.52
2007,48,27,21,0.5625
2008,50,34,16,0.68
2009,49,36,13,0.7346938775510204
2010,49,29,20,0.5918367346938775
2011,53,33,20,0.6226415094339622
2012,55,31,24,0.5636363636363636
2013,51,36,15,0.7058823529411765
2014,53,31,22,0.5849056603773585
2015,42,28,14,0.6666666666666666
2016,54,30,24,0.5555555555555556
2017,54,34,20,0.6296296296296297
2018,57,39,18,0.6842105263157895
2019,58,37,21,0.6379310344827587
