PLAYER_ID,PLAYER_NAME,draft_year,year5_season_start,year5_season_string,name_key_raw,macro_archetype,identity_drift_class,audit_note
1920,A.J. Bramlett,1999,2003,2003-04,a j bramlett,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1893,Aleksandar Radojevic,1999,2003,2003-04,aleksandar radojevic,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1898,Cal Bowdler,1999,2003,2003-04,cal bowdler,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1914,Chris Herren,1999,2003,2003-04,chris herren,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1911,John Celestand,1999,2003,2003-04,john celestand,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1930,Lari Ketner,1999,2003,2003-04,lari ketner,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1919,Laron Profit,1999,2003,2003-04,laron profit,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1924,Lee Nailon,1999,2003,2003-04,lee nailon,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1910,Leon Smith,1999,2003,2003-04,leon smith,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1926,Ryan Robertson,1999,2003,2003-04,ryan robertson,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1906,Tim James,1999,2003,2003-04,tim james,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1937,Tim Young,1999,2003,2003-04,tim young,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1892,Trajan Langdon,1999,2003,2003-04,trajan langdon,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1907,Vonteego Cummings,1999,2003,2003-04,vonteego cummings,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
1895,William Avery,1999,2003,2003-04,william avery,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2062,A.J. Guyton,2000,2004,2004-05,a j guyton,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2084,Chris Porter,2000,2004,2004-05,chris porter,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2053,Dalibor Bagaric,2000,2004,2004-05,dalibor bagaric,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2061,Dan Langhi,2000,2004,2004-05,dan langhi,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2082,Dan McClintock,2000,2004,2004-05,dan mcclintock,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2051,Donnell Harvey,2000,2004,2004-05,donnell harvey,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2057,Erick Barkley,2000,2004,2004-05,erick barkley,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2081,Ernest Brown,2000,2004,2004-05,ernest brown,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2069,Hanno Mottola,2000,2004,2004-05,hanno mottola,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2080,Igor Rakocevic,2000,2004,2004-05,igor rakocevic,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2054,Jake Tsakalidis,2000,2004,2004-05,jake tsakalidis,Low-Usage Interior Bigs,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2064,Khalid El-Amin,2000,2004,2004-05,khalid el amin,Perimeter Wings & Connectors,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2068,Lavor Postell,2000,2004,2004-05,lavor postell,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2065,Mike Smith,2000,2004,2004-05,mike smith,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2071,Olumide Oyedeji,2000,2004,2004-05,olumide oyedeji,Low-Usage Interior Bigs,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2066,Soumaila Samake,2000,2004,2004-05,soumaila samake,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2228,Alton Ford,2001,2005,2005-06,alton ford,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2264,Alvin Jones,2001,2005,2005-06,alvin jones,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2238,Antonis Fotsis,2001,2005,2005-06,antonis fotsis,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2220,Brandon Armstrong,2001,2005,2005-06,brandon armstrong,Fringe / Low-Opportunity Players,insufficient_data,No matched Year-5 salary row after current normalization and season merge.
2245,Damone Brown,2001,2005,2005-06,damone brown,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
2249,Jamison Brewer,2001,2005,2005-06,jamison brewer,Fringe / Low-Opportunity Players,role_shifting_materially,No matched Year-5 salary row after current normalization and season merge.
