model_name,fold_id,n_train,n_test,test_draft_years,rmse,mae,medae,r2
global_mean,1,534,128,"2001, 2012, 2015, 2018",0.07936226859362616,0.06630290440936913,0.0617787408419543,-0.007219743009729829
macro_archetype_mean,1,534,128,"2001, 2012, 2015, 2018",0.06772538276476193,0.05396567802053798,0.04174046274994074,0.26650185656911207
linear_regression,1,534,128,"2001, 2012, 2015, 2018",0.04297995438975672,0.03316413624514868,0.026670002131555827,0.7045881019356981
ridge_alpha_1,1,534,128,"2001, 2012, 2015, 2018",0.043262268648068994,0.033411010790388204,0.02305966670689516,0.7006945243068861
ridge_alpha_10,1,534,128,"2001, 2012, 2015, 2018",0.04409643312480855,0.03421851292625015,0.02528216645314804,0.6890410896541763
global_mean,2,535,127,"2007, 2011, 2014, 2019",0.07651044634268175,0.06388407880357916,0.06001291467126543,-0.0003594965486664048
macro_archetype_mean,2,535,127,"2007, 2011, 2014, 2019",0.05343564540001358,0.042687337700452764,0.035112790302158414,0.5120483997253359
linear_regression,2,535,127,"2007, 2011, 2014, 2019",0.041145416158431314,0.030351547446384238,0.020501762696764597,0.7106939293199337
ridge_alpha_1,2,535,127,"2007, 2011, 2014, 2019",0.04068757310273362,0.030054319551250337,0.01975381624921443,0.7170965780458753
ridge_alpha_10,2,535,127,"2007, 2011, 2014, 2019",0.039553347819408904,0.029379139952365838,0.021430269213001837,0.7326494235065739
global_mean,3,535,127,"1999, 2002, 2005, 2013",0.07467438772060407,0.06376593959553777,0.06165877239109265,-0.0013284913491049544
macro_archetype_mean,3,535,127,"1999, 2002, 2005, 2013",0.055672893341552974,0.04317451690310118,0.03658014226517664,0.4434286876459905
linear_regression,3,535,127,"1999, 2002, 2005, 2013",0.040009231978731415,0.030877047633611095,0.026439996922689474,0.7125557256951756
ridge_alpha_1,3,535,127,"1999, 2002, 2005, 2013",0.03930406099079779,0.030073056698595637,0.023397423103210257,0.7225989612925914
ridge_alpha_10,3,535,127,"1999, 2002, 2005, 2013",0.03950099867839133,0.030397806744682232,0.02468371292233321,0.7198120947659816
global_mean,4,510,152,"2004, 2006, 2008, 2009, 2016",0.07647790571697469,0.06429170039310045,0.05991686233519648,-1.0625616337245347e-05
macro_archetype_mean,4,510,152,"2004, 2006, 2008, 2009, 2016",0.05266865532582449,0.041126840451069395,0.034810804774816795,0.5257174976800632
linear_regression,4,510,152,"2004, 2006, 2008, 2009, 2016",0.040011509402284796,0.03120852966491236,0.026535415827396318,0.7262825335123084
ridge_alpha_1,4,510,152,"2004, 2006, 2008, 2009, 2016",0.03855048418255841,0.03033342652732812,0.026912955906519445,0.745907225516983
ridge_alpha_10,4,510,152,"2004, 2006, 2008, 2009, 2016",0.03724074915333941,0.029075131046376004,0.025898437566439836,0.7628793050653401
global_mean,5,534,128,"2000, 2003, 2010, 2017",0.07383181470652422,0.06313269771255632,0.0627456800483451,-0.006080632877080383
macro_archetype_mean,5,534,128,"2000, 2003, 2010, 2017",0.049014777069779095,0.040243096688041366,0.03546624131877665,0.556595837059195
linear_regression,5,534,128,"2000, 2003, 2010, 2017",0.03997760856848108,0.029621866888117035,0.02112648255694709,0.7050289965866772
ridge_alpha_1,5,534,128,"2000, 2003, 2010, 2017",0.039087015324924756,0.02915741635201659,0.020363706934654516,0.7180249249338078
ridge_alpha_10,5,534,128,"2000, 2003, 2010, 2017",0.03870255409058399,0.029413454787603814,0.021398134189460183,0.7235446777064825
