feature_name,coefficient,abs_coefficient,selected_model
num__pca_1_k5,0.028246925812739566,0.028246925812739566,ridge_alpha_10
num__dist_to_cluster_3_k5,0.020843370415493848,0.020843370415493848,ridge_alpha_10
num__pca_2_k5,0.01657493692926211,0.01657493692926211,ridge_alpha_10
num__pca_3_k5,0.011992236360457324,0.011992236360457324,ridge_alpha_10
num__own_cluster_distance,-0.010633218943471134,0.010633218943471134,ridge_alpha_10
num__prototype_fit_rank_distance,-0.010633218943470621,0.010633218943470621,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | Interior Finishers,0.009635131047969434,0.009635131047969434,ridge_alpha_10
cat__hybrid_archetype_label_Low-Usage Interior Bigs | Rim Pressure Drivers,0.009357984638712541,0.009357984638712541,ridge_alpha_10
num__shot_emb_6,-0.009137422705532994,0.009137422705532994,ridge_alpha_10
num__dist_to_cluster_2_k5,0.008997154902627005,0.008997154902627005,ridge_alpha_10
num__shot_emb_15,0.008627569434764613,0.008627569434764613,ridge_alpha_10
num__pca_19,0.007951383395283566,0.007951383395283566,ridge_alpha_10
num__shot_emb_5,-0.0074257824426979206,0.0074257824426979206,ridge_alpha_10
num__shot_emb_12,-0.007221226048189771,0.007221226048189771,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.007209347991221871,0.007209347991221871,ridge_alpha_10
num__pca_9,-0.006783498631171274,0.006783498631171274,ridge_alpha_10
num__total_shot_attempts_covered,0.006726075366503555,0.006726075366503555,ridge_alpha_10
num__pca_8,0.006519904354063591,0.006519904354063591,ridge_alpha_10
num__shot_emb_18,0.006274365382508058,0.006274365382508058,ridge_alpha_10
num__pca_4_k5,0.006110037776782409,0.006110037776782409,ridge_alpha_10
num__dist_to_cluster_0_k5,0.006024453784446767,0.006024453784446767,ridge_alpha_10
num__pca_5_k5,0.0060142642362691085,0.0060142642362691085,ridge_alpha_10
num__pca_11,-0.00593966368794548,0.00593966368794548,ridge_alpha_10
