feature_name,coefficient,abs_coefficient,selected_model
num__pca_1_k5,0.028371546009164198,0.028371546009164198,ridge_alpha_10
num__dist_to_cluster_3_k5,0.020620920477832146,0.020620920477832146,ridge_alpha_10
num__pca_2_k5,0.01663829528780107,0.01663829528780107,ridge_alpha_10
num__pca_3_k5,0.011827380029930517,0.011827380029930517,ridge_alpha_10
num__prototype_fit_rank_distance,-0.010555040054393762,0.010555040054393762,ridge_alpha_10
num__own_cluster_distance,-0.010555040054393526,0.010555040054393526,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | Interior Finishers,0.009585683884120599,0.009585683884120599,ridge_alpha_10
cat__hybrid_archetype_label_Low-Usage Interior Bigs | Rim Pressure Drivers,0.00919244685174675,0.00919244685174675,ridge_alpha_10
num__dist_to_cluster_2_k5,0.008944481830105749,0.008944481830105749,ridge_alpha_10
num__shot_emb_6,-0.008624719631258115,0.008624719631258115,ridge_alpha_10
num__shot_emb_15,0.008462281318115598,0.008462281318115598,ridge_alpha_10
num__pca_19,0.007988100072581113,0.007988100072581113,ridge_alpha_10
num__shot_emb_12,-0.00741256780893586,0.00741256780893586,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,0.007396269411262277,0.007396269411262277,ridge_alpha_10
num__shot_emb_5,-0.007250458490796429,0.007250458490796429,ridge_alpha_10
num__total_shot_attempts_covered,0.006986891999001719,0.006986891999001719,ridge_alpha_10
num__pca_9,-0.006885374067943918,0.006885374067943918,ridge_alpha_10
num__pca_8,0.0063976655339289396,0.0063976655339289396,ridge_alpha_10
num__shot_emb_18,0.0063128119585794526,0.0063128119585794526,ridge_alpha_10
num__dist_to_cluster_0_k5,0.00603602220168433,0.00603602220168433,ridge_alpha_10
num__pca_4_k5,0.0059763719053473425,0.0059763719053473425,ridge_alpha_10
num__pca_6,0.005896359617413588,0.005896359617413588,ridge_alpha_10
num__pca_5_k5,0.005883593984931476,0.005883593984931476,ridge_alpha_10
num__prototype_ambiguity_ratio,0.005829935273139784,0.005829935273139784,ridge_alpha_10
num__pca_11,-0.005812325344328998,0.005812325344328998,ridge_alpha_10
num__dist_to_cluster_1_k5,0.005652287567907011,0.005652287567907011,ridge_alpha_10
