SEASON_STRING,SALARY_CAP,LUXURY_TAX
1984-85,3600000.0,"$9,793,069"
1985-86,4233000.0,"$11,298,280"
1986-87,4945000.0,"$12,734,751"
1987-88,6164000.0,"$15,248,702"
1988-89,7232000.0,"$17,069,461"
1989-90,9802000.0,"$21,950,887"
1990-91,11871000.0,"$25,499,592"
1991-92,12500000.0,"$26,061,180"
1992-93,14000000.0,"$28,354,756"
1993-94,15175000.0,"$29,954,782"
1994-95,15964000.0,"$30,651,995"
1995-96,23000000.0,"$42,906,004"
1996-97,24363000.0,"$44,402,880"
1997-98,26900000.0,"$48,285,994"
1998-99,30000000.0,"$52,688,773"
1999-00,34000000.0,"$57,763,864"
Jan-00,35500000.0,"$58,657,395"
Feb-01,42500000.0,"$69,132,284"
Mar-02,40271000.0,"$64,048,956"
Apr-03,43840000.0,"$67,907,202"
May-04,43870000.0,"$65,719,039"
Jun-05,49500000.0,"$71,839,551"
Jul-06,53135000.0,"$74,973,988"
Aug-07,55630000.0,"$75,594,893"
Sep-08,58680000.0,"$80,023,973"
Oct-09,57700000.0,"$77,414,680"
Nov-10,58044000.0,"$75,491,545"
Dec-11,58044000.0,"$73,970,553"
2012-13,58044000.0,"$72,903,264"
2013-14,58679000.0,"$72,519,787"
2014-15,63065000.0,"$77,841,847"
2015-16,70000000.0,"$85,323,721"
2016-17,94143000.0,"$112,368,348"
2017-18,99093000.0,"$115,455,294"
2018-19,101869000.0,"$116,573,245"
2019-20,109140000.0,"$123,384,194"
2020-21,109140000.0,"$117,838,496"
2021-22,112414000.0,"$112,414,000"
2022-23,123655000.0,
2023-24,136021000.0,
2024-25,140588000.0,
2025-26,154647000.0,
,,
