metric,value
rows_after_cleaning,40826
unique_players,11
unique_player_seasons,42
unique_games,2365
duplicate_player_game_event_rows_after_cleaning,0
missing_loc_x_rows,0
missing_loc_y_rows,0
missing_shot_distance_rows,0
missing_minutes_remaining_rows,0
missing_seconds_remaining_rows,0
players_lt_50_total_attempts,0
players_lt_100_total_attempts,0
player_seasons_lt_50_attempts,0
player_seasons_lt_100_attempts,0
season_1_attempts,7192
season_2_attempts,10646
season_3_attempts,10418
season_4_attempts,12570
