PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,avg_loc_x,avg_loc_y,avg_total_seconds_remaining,low_volume_lt25_flag,low_volume_lt50_flag,low_volume_lt100_flag
1882,Elton Brand,1999,1,1999-00,81,1306,630,0.48238897396630936,-3.3483920367534457,32.085758039816234,376.70061255742723,0,0,0
1882,Elton Brand,1999,2,2000-01,74,1216,578,0.4753289473684211,-20.77138157894737,38.6891447368421,345.16529605263156,0,0,0
1882,Elton Brand,1999,3,2001-02,80,1010,532,0.5267326732673268,-15.841584158415841,31.605940594059405,362.23069306930694,0,0,0
1882,Elton Brand,1999,4,2002-03,62,899,451,0.5016685205784205,-3.798665183537264,33.232480533926584,370.22691879866517,0,0,0
1883,Steve Francis,1999,1,1999-00,77,1117,497,0.4449418084153984,-25.34288272157565,85.56938227394808,322.22739480752017,0,0,0
1883,Steve Francis,1999,2,2000-01,80,1219,550,0.45118949958982774,-24.89253486464315,81.95077932731748,331.95652173913044,0,0,0
1883,Steve Francis,1999,3,2001-02,57,1007,420,0.4170804369414101,-8.95630585898709,90.4875868917577,315.88480635551144,0,0,0
1883,Steve Francis,1999,4,2002-03,81,1312,571,0.43521341463414637,-13.993140243902438,85.56326219512195,317.6204268292683,0,0,0
1884,Baron Davis,1999,1,1999-00,82,433,182,0.42032332563510394,0.37644341801385683,89.68129330254041,336.80600461893766,0,0,0
1884,Baron Davis,1999,2,2000-01,82,957,409,0.42737722048066873,-7.467084639498433,90.28213166144201,347.51097178683386,0,0,0
1884,Baron Davis,1999,3,2001-02,82,1341,559,0.4168530947054437,-6.876957494407159,99.50708426547352,326.52870991797164,0,0,0
1884,Baron Davis,1999,4,2002-03,50,798,332,0.41604010025062654,2.5162907268170427,99.66165413533835,342.2944862155388,0,0,0
1885,Lamar Odom,1999,1,1999-00,76,1024,449,0.4384765625,0.634765625,60.5,362.28515625,0,0,0
1885,Lamar Odom,1999,2,2000-01,75,1046,481,0.4598470363288719,1.0755258126195029,80.0717017208413,349.5076481835564,0,0,0
1885,Lamar Odom,1999,3,2001-02,29,360,151,0.41944444444444445,10.258333333333333,89.70555555555555,339.6222222222222,0,0,0
1885,Lamar Odom,1999,4,2002-03,49,611,268,0.4386252045826514,5.337152209492635,70.87234042553192,354.2340425531915,0,0,0
1886,Jonathan Bender,1999,1,1999-00,22,70,23,0.32857142857142857,-26.514285714285716,51.18571428571428,239.18571428571428,0,0,1
1886,Jonathan Bender,1999,2,2000-01,47,186,66,0.3548387096774194,-20.919354838709676,68.15053763440861,335.4032258064516,0,0,0
1886,Jonathan Bender,1999,3,2001-02,78,460,198,0.43043478260869567,-16.247826086956522,72.75652173913043,357.6478260869565,0,0,0
1886,Jonathan Bender,1999,4,2002-03,44,254,112,0.4409448818897638,10.94488188976378,70.39763779527559,376.4251968503937,0,0,0
1887,Wally Szczerbiak,1999,1,1999-00,73,669,342,0.5112107623318386,-6.378176382660688,56.31988041853513,363.8370702541106,0,0,0
1887,Wally Szczerbiak,1999,2,2000-01,82,920,469,0.5097826086956522,-15.841304347826087,64.47282608695652,366.82717391304345,0,0,0
1887,Wally Szczerbiak,1999,3,2001-02,82,1200,609,0.5075,-13.361666666666666,70.53833333333333,350.6766666666667,0,0,0
1887,Wally Szczerbiak,1999,4,2002-03,52,729,351,0.48148148148148145,-28.665294924554185,75.18930041152264,352.4074074074074,0,0,0
1888,Richard Hamilton,1999,1,1999-00,70,605,254,0.41983471074380163,-1.287603305785124,59.89421487603306,332.2099173553719,0,0,0
1888,Richard Hamilton,1999,2,2000-01,78,1249,547,0.4379503602882306,3.319455564451561,60.99519615692554,336.09367493995194,0,0,0
1888,Richard Hamilton,1999,3,2001-02,63,1084,472,0.4354243542435424,4.334256694367498,55.97229916897507,348.2389298892989,0,0,0
1888,Richard Hamilton,1999,4,2002-03,82,1286,570,0.4432348367029549,3.615863141524106,56.679626749611195,332.18895800933126,0,0,0
1889,Andre Miller,1999,1,1999-00,82,755,339,0.44900662251655626,-7.740397350993377,54.500662251655626,322.56423841059603,0,0,0
1889,Andre Miller,1999,2,2000-01,82,999,452,0.45245245245245247,-15.411411411411411,70.83683683683684,308.7797797797798,0,0,0
1889,Andre Miller,1999,3,2001-02,81,1045,474,0.4535885167464115,-6.91866028708134,67.21722488038277,324.1244019138756,0,0,0
1889,Andre Miller,1999,4,2002-03,80,928,377,0.40625,-11.293103448275861,71.86530172413794,331.5883620689655,0,0,0
1890,Shawn Marion,1999,1,1999-00,51,471,222,0.4713375796178344,-4.762208067940552,34.71337579617835,393.4734607218684,0,0,0
1890,Shawn Marion,1999,2,2000-01,79,1160,557,0.48017241379310344,-20.02844827586207,41.286206896551725,362.93189655172415,0,0,0
1890,Shawn Marion,1999,3,2001-02,81,1395,654,0.46881720430107526,-0.04802867383512545,55.769175627240145,352.9232974910394,0,0,0
1890,Shawn Marion,1999,4,2002-03,81,1466,662,0.451568894952251,14.328103683492497,62.59072305593452,341.5948158253752,0,0,0
1891,Jason Terry,1999,1,1999-00,79,600,249,0.415,-4.781666666666666,112.98666666666666,347.27,0,0,0
1891,Jason Terry,1999,2,2000-01,82,1367,596,0.4359912216532553,-4.5508412582297,94.45354791514265,338.81492318946596,0,0,0
1891,Jason Terry,1999,3,2001-02,77,1219,524,0.4298605414273995,-8.095980311730926,94.90976210008203,338.94257588187037,0,0,0
1891,Jason Terry,1999,4,2002-03,81,1141,488,0.42769500438212094,-7.002629272567923,101.39263803680981,317.9675723049956,0,0,0
1892,Trajan Langdon,1999,1,1999-00,6,40,15,0.375,-2.325,99.25,344.025,0,1,1
1892,Trajan Langdon,1999,2,2000-01,60,313,135,0.43130990415335463,-10.878594249201278,97.0702875399361,352.07987220447285,0,0,0
1892,Trajan Langdon,1999,3,2001-02,40,176,70,0.3977272727272727,-15.267045454545455,123.71022727272727,317.9261363636364,0,0,0
1893,Aleksandar Radojevic,1999,1,1999-00,2,7,2,0.2857142857142857,4.285714285714286,21.714285714285715,272.57142857142856,1,1,1
1894,Corey Maggette,1999,1,1999-00,77,469,224,0.47761194029850745,-0.35394456289978676,31.29850746268657,351.5138592750533,0,0,0
1894,Corey Maggette,1999,2,2000-01,68,487,225,0.4620123203285421,29.68788501026694,47.94866529774127,341.4969199178645,0,0,0
1894,Corey Maggette,1999,3,2001-02,62,530,235,0.44339622641509435,14.818867924528302,74.41132075471698,365.9490566037736,0,0,0
1894,Corey Maggette,1999,4,2002-03,64,773,343,0.44372574385511,12.645536869340233,83.99353169469599,341.5963777490297,0,0,0
1895,William Avery,1999,1,1999-00,49,181,56,0.30939226519337015,-22.30939226519337,101.65745856353591,301.585635359116,0,0,0
1895,William Avery,1999,2,2000-01,44,144,55,0.3819444444444444,-6.625,108.38888888888889,277.2361111111111,0,0,0
1895,William Avery,1999,3,2001-02,23,90,26,0.28888888888888886,-9.622222222222222,124.95555555555555,304.0777777777778,0,0,1
1897,Metta World Peace,1999,1,1999-00,72,759,309,0.40711462450592883,8.399209486166008,65.93939393939394,352.05797101449275,0,0,0
1897,Metta World Peace,1999,2,2000-01,76,815,327,0.4012269938650307,6.876073619631902,75.77177914110429,378.96196319018406,0,0,0
1897,Metta World Peace,1999,3,2001-02,55,636,269,0.4229559748427673,2.9229559748427674,79.60377358490567,376.34591194968556,0,0,0
1897,Metta World Peace,1999,4,2002-03,69,846,362,0.42789598108747046,-9.911347517730496,66.63829787234043,349.47163120567376,0,0,0
1898,Cal Bowdler,1999,1,1999-00,36,115,49,0.4260869565217391,-10.460869565217392,29.791304347826088,286.1217391304348,0,0,0
1898,Cal Bowdler,1999,2,2000-01,31,114,53,0.4649122807017544,16.087719298245613,48.40350877192982,251.98245614035088,0,0,0
1898,Cal Bowdler,1999,3,2001-02,46,174,61,0.3505747126436782,-5.494252873563219,55.89080459770115,312.4080459770115,0,0,0
1899,James Posey,1999,1,1999-00,78,536,230,0.4291044776119403,-2.171641791044776,60.72014925373134,367.2425373134328,0,0,0
1899,James Posey,1999,2,2000-01,82,590,243,0.411864406779661,-1.6898305084745762,54.335593220338986,375.2508474576271,0,0,0
1899,James Posey,1999,3,2001-02,73,736,277,0.3763586956521739,-7.342391304347826,54.130434782608695,352.4171195652174,0,0,0
1899,James Posey,1999,4,2002-03,82,752,309,0.4109042553191489,-12.019946808510639,65.75265957446808,359.9255319148936,0,0,0
1900,Quincy Lewis,1999,1,1999-00,69,298,111,0.3724832214765101,7.704697986577181,66.70805369127517,370.6140939597315,0,0,0
1900,Quincy Lewis,1999,2,2000-01,30,123,50,0.4065040650406504,5.715447154471545,70.95934959349593,380.8048780487805,0,0,0
1900,Quincy Lewis,1999,3,2001-02,30,143,64,0.44755244755244755,19.18881118881119,75.16783216783217,396.965034965035,0,0,0
1901,Dion Glover,1999,1,1999-00,29,171,66,0.38596491228070173,18.24561403508772,71.80701754385964,323.7719298245614,0,0,0
1901,Dion Glover,1999,2,2000-01,53,336,141,0.41964285714285715,16.770833333333332,57.68154761904762,335.1845238095238,0,0,0
1901,Dion Glover,1999,3,2001-02,54,456,192,0.42105263157894735,12.774122807017545,66.8048245614035,360.37280701754383,0,0,0
1901,Dion Glover,1999,4,2002-03,76,648,277,0.42746913580246915,12.779320987654321,66.3641975308642,357.23765432098764,0,0,0
1902,Jeff Foster,1999,1,1999-00,10,23,13,0.5652173913043478,16.565217391304348,24.391304347826086,145.7391304347826,1,1,1
1902,Jeff Foster,1999,2,2000-01,59,213,100,0.4694835680751174,-12.248826291079812,26.12676056338028,337.9201877934272,0,0,0
1902,Jeff Foster,1999,3,2001-02,79,394,177,0.44923857868020306,-9.814720812182742,43.555837563451774,385.4213197969543,0,0,0
1902,Jeff Foster,1999,4,2002-03,65,178,64,0.3595505617977528,-2.1292134831460676,43.00561797752809,369.29213483146066,0,0,0
1903,Kenny Thomas,1999,1,1999-00,69,531,212,0.3992467043314501,-13.265536723163843,66.38229755178908,350.2994350282486,0,0,0
1903,Kenny Thomas,1999,2,2000-01,74,465,206,0.443010752688172,-3.9698924731182794,63.76774193548387,361.09247311827954,0,0,0
1903,Kenny Thomas,1999,3,2001-02,72,829,396,0.4776839565741858,-3.0844390832328106,54.21592279855247,380.1978287092883,0,0,0
1903,Kenny Thomas,1999,4,2002-03,66,559,260,0.46511627906976744,-1.5796064400715564,35.1824686940966,386.2254025044723,0,0,0
1904,Devean George,1999,1,1999-00,40,144,56,0.3888888888888889,-10.006944444444445,75.61805555555556,250.625,0,0,0
1904,Devean George,1999,2,2000-01,51,207,64,0.30917874396135264,-1.6280193236714975,84.08212560386474,320.72463768115944,0,0,0
1904,Devean George,1999,3,2001-02,81,523,215,0.4110898661567878,-11.617590822179732,87.30401529636711,369.2141491395794,0,0,0
1904,Devean George,1999,4,2002-03,71,461,180,0.39045553145336226,-10.101952277657267,84.7527114967462,367.7874186550976,0,0,0
1905,Andrei Kirilenko,1999,3,2001-02,82,633,285,0.45023696682464454,0.9541864139020537,39.107424960505526,340.83570300157976,0,0,0
1905,Andrei Kirilenko,1999,4,2002-03,80,642,315,0.49065420560747663,7.655763239875389,50.294392523364486,326.86915887850466,0,0,0
1906,Tim James,1999,1,1999-00,4,14,5,0.35714285714285715,37.714285714285715,55.142857142857146,189.35714285714286,1,1,1
1906,Tim James,1999,2,2000-01,23,52,16,0.3076923076923077,-3.9615384615384617,53.55769230769231,274.5192307692308,0,0,1
1906,Tim James,1999,3,2001-02,7,13,5,0.38461538461538464,-43.46153846153846,30.923076923076923,362.3076923076923,1,1,1
1907,Vonteego Cummings,1999,1,1999-00,75,655,265,0.40458015267175573,0.46106870229007635,86.24122137404581,317.9358778625954,0,0,0
1907,Vonteego Cummings,1999,2,2000-01,66,517,178,0.344294003868472,-1.8607350096711799,99.3384912959381,317.70212765957444,0,0,0
1907,Vonteego Cummings,1999,3,2001-02,47,187,78,0.41711229946524064,-10.016042780748663,71.09625668449198,274.3850267379679,0,0,0
1908,Jumaine Jones,1999,1,1999-00,24,58,22,0.3793103448275862,-34.5,42.258620689655174,157.58620689655172,0,0,1
1908,Jumaine Jones,1999,2,2000-01,55,275,122,0.44363636363636366,-15.549090909090909,69.77090909090909,316.50545454545454,0,0,0
1908,Jumaine Jones,1999,3,2001-02,79,640,287,0.4484375,1.7390625,83.021875,322.33125,0,0,0
