tensor_index,PLAYER_ID,season_num,PLAYER_NAME,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct
0,1882,1,Elton Brand,1999-00,1999,81,1306,630,0.48238897396630936
1,1882,2,Elton Brand,2000-01,1999,74,1216,578,0.4753289473684211
2,1882,3,Elton Brand,2001-02,1999,80,1010,532,0.5267326732673268
3,1882,4,Elton Brand,2002-03,1999,62,899,451,0.5016685205784205
4,1883,1,Steve Francis,1999-00,1999,77,1117,497,0.4449418084153984
5,1883,2,Steve Francis,2000-01,1999,80,1214,549,0.45222405271828664
6,1883,3,Steve Francis,2001-02,1999,57,1002,420,0.41916167664670656
7,1883,4,Steve Francis,2002-03,1999,81,1306,571,0.43721286370597245
8,1884,1,Baron Davis,1999-00,1999,82,432,182,0.4212962962962963
9,1884,2,Baron Davis,2000-01,1999,82,954,408,0.4276729559748428
10,1884,3,Baron Davis,2001-02,1999,82,1335,559,0.41872659176029964
11,1884,4,Baron Davis,2002-03,1999,50,796,332,0.41708542713567837
12,1885,1,Lamar Odom,1999-00,1999,76,1022,449,0.43933463796477495
13,1885,2,Lamar Odom,2000-01,1999,75,1045,481,0.4602870813397129
14,1885,3,Lamar Odom,2001-02,1999,29,360,151,0.41944444444444445
15,1885,4,Lamar Odom,2002-03,1999,49,610,268,0.43934426229508194
16,1886,1,Jonathan Bender,1999-00,1999,22,70,23,0.32857142857142857
17,1886,2,Jonathan Bender,2000-01,1999,47,185,66,0.3567567567567568
18,1886,3,Jonathan Bender,2001-02,1999,78,460,198,0.43043478260869567
19,1886,4,Jonathan Bender,2002-03,1999,44,254,112,0.4409448818897638
20,1887,1,Wally Szczerbiak,1999-00,1999,73,669,342,0.5112107623318386
21,1887,2,Wally Szczerbiak,2000-01,1999,82,919,469,0.5103373231773667
22,1887,3,Wally Szczerbiak,2001-02,1999,82,1199,609,0.5079232693911593
23,1887,4,Wally Szczerbiak,2002-03,1999,52,729,351,0.48148148148148145
24,1888,1,Richard Hamilton,1999-00,1999,70,605,254,0.41983471074380163
25,1888,2,Richard Hamilton,2000-01,1999,78,1249,547,0.4379503602882306
26,1888,3,Richard Hamilton,2001-02,1999,63,1083,472,0.4358264081255771
27,1888,4,Richard Hamilton,2002-03,1999,82,1286,570,0.4432348367029549
28,1889,1,Andre Miller,1999-00,1999,82,754,339,0.4496021220159151
29,1889,2,Andre Miller,2000-01,1999,82,987,451,0.4569402228976697
30,1889,3,Andre Miller,2001-02,1999,81,1037,474,0.4570877531340405
31,1889,4,Andre Miller,2002-03,1999,80,921,377,0.40933767643865365
32,1890,1,Shawn Marion,1999-00,1999,51,471,222,0.4713375796178344
33,1890,2,Shawn Marion,2000-01,1999,79,1157,557,0.4814174589455488
34,1890,3,Shawn Marion,2001-02,1999,81,1393,654,0.4694903086862886
35,1890,4,Shawn Marion,2002-03,1999,81,1464,662,0.4521857923497268
36,1891,1,Jason Terry,1999-00,1999,79,598,248,0.41471571906354515
37,1891,2,Jason Terry,2000-01,1999,82,1367,596,0.4359912216532553
38,1891,3,Jason Terry,2001-02,1999,77,1219,524,0.4298605414273995
39,1891,4,Jason Terry,2002-03,1999,81,1140,488,0.4280701754385965
40,1892,1,Trajan Langdon,1999-00,1999,6,40,15,0.375
41,1892,2,Trajan Langdon,2000-01,1999,60,313,135,0.43130990415335463
42,1892,3,Trajan Langdon,2001-02,1999,40,175,70,0.4
43,1894,1,Corey Maggette,1999-00,1999,77,468,224,0.47863247863247865
44,1894,2,Corey Maggette,2000-01,1999,68,487,225,0.4620123203285421
45,1894,3,Corey Maggette,2001-02,1999,62,530,235,0.44339622641509435
46,1894,4,Corey Maggette,2002-03,1999,64,772,343,0.44430051813471505
47,1895,1,William Avery,1999-00,1999,49,180,56,0.3111111111111111
48,1895,2,William Avery,2000-01,1999,44,142,55,0.3873239436619718
49,1895,3,William Avery,2001-02,1999,23,89,26,0.29213483146067415
50,1897,1,Metta World Peace,1999-00,1999,72,758,309,0.4076517150395778
51,1897,2,Metta World Peace,2000-01,1999,76,814,327,0.40171990171990174
52,1897,3,Metta World Peace,2001-02,1999,55,636,269,0.4229559748427673
53,1897,4,Metta World Peace,2002-03,1999,69,846,362,0.42789598108747046
54,1898,1,Cal Bowdler,1999-00,1999,36,115,49,0.4260869565217391
55,1898,2,Cal Bowdler,2000-01,1999,31,114,53,0.4649122807017544
56,1898,3,Cal Bowdler,2001-02,1999,46,174,61,0.3505747126436782
57,1899,1,James Posey,1999-00,1999,78,536,230,0.4291044776119403
58,1899,2,James Posey,2000-01,1999,82,588,243,0.413265306122449
59,1899,3,James Posey,2001-02,1999,73,733,277,0.37789904502046384
60,1899,4,James Posey,2002-03,1999,82,749,309,0.41255006675567424
61,1900,1,Quincy Lewis,1999-00,1999,69,297,111,0.37373737373737376
62,1900,2,Quincy Lewis,2000-01,1999,30,123,50,0.4065040650406504
63,1900,3,Quincy Lewis,2001-02,1999,30,143,64,0.44755244755244755
64,1901,1,Dion Glover,1999-00,1999,29,171,66,0.38596491228070173
65,1901,2,Dion Glover,2000-01,1999,53,335,141,0.4208955223880597
66,1901,3,Dion Glover,2001-02,1999,54,455,192,0.421978021978022
67,1901,4,Dion Glover,2002-03,1999,76,647,277,0.4281298299845441
68,1902,2,Jeff Foster,2000-01,1999,59,213,100,0.4694835680751174
69,1902,3,Jeff Foster,2001-02,1999,79,393,177,0.45038167938931295
70,1902,4,Jeff Foster,2002-03,1999,65,177,64,0.3615819209039548
71,1903,1,Kenny Thomas,1999-00,1999,69,531,212,0.3992467043314501
72,1903,2,Kenny Thomas,2000-01,1999,74,465,206,0.443010752688172
73,1903,3,Kenny Thomas,2001-02,1999,72,828,396,0.4782608695652174
74,1903,4,Kenny Thomas,2002-03,1999,66,559,260,0.46511627906976744
75,1904,1,Devean George,1999-00,1999,39,143,56,0.3916083916083916
76,1904,2,Devean George,2000-01,1999,51,207,64,0.30917874396135264
77,1904,3,Devean George,2001-02,1999,81,519,215,0.4142581888246628
78,1904,4,Devean George,2002-03,1999,71,460,180,0.391304347826087
79,1905,3,Andrei Kirilenko,2001-02,1999,82,633,285,0.45023696682464454
80,1905,4,Andrei Kirilenko,2002-03,1999,80,640,315,0.4921875
81,1906,2,Tim James,2000-01,1999,23,52,16,0.3076923076923077
82,1907,1,Vonteego Cummings,1999-00,1999,75,655,265,0.40458015267175573
83,1907,2,Vonteego Cummings,2000-01,1999,66,516,178,0.3449612403100775
84,1907,3,Vonteego Cummings,2001-02,1999,47,187,78,0.41711229946524064
85,1908,1,Jumaine Jones,1999-00,1999,24,58,22,0.3793103448275862
86,1908,2,Jumaine Jones,2000-01,1999,55,274,122,0.44525547445255476
87,1908,3,Jumaine Jones,2001-02,1999,79,639,286,0.4475743348982786
88,1908,4,Jumaine Jones,2002-03,1999,80,708,308,0.4350282485875706
89,1909,1,Scott Padgett,1999-00,1999,37,140,44,0.3142857142857143
90,1909,2,Scott Padgett,2000-01,1999,19,42,18,0.42857142857142855
91,1909,3,Scott Padgett,2001-02,1999,71,395,188,0.4759493670886076
92,1909,4,Scott Padgett,2002-03,1999,82,423,170,0.40189125295508277
93,1910,3,Leon Smith,2001-02,1999,9,26,10,0.38461538461538464
94,1911,1,John Celestand,1999-00,1999,12,45,15,0.3333333333333333
95,1913,1,Michael Ruffin,1999-00,1999,56,138,58,0.42028985507246375
96,1913,2,Michael Ruffin,2000-01,1999,35,90,40,0.4444444444444444
97,1913,3,Michael Ruffin,2001-02,1999,9,26,7,0.2692307692307692
98,1914,1,Chris Herren,1999-00,1999,40,124,45,0.3629032258064516
99,1914,2,Chris Herren,2000-01,1999,21,96,29,0.3020833333333333
100,1915,1,Evan Eschmeyer,1999-00,1999,23,72,38,0.5277777777777778
101,1915,2,Evan Eschmeyer,2000-01,1999,63,200,92,0.46
102,1915,3,Evan Eschmeyer,2001-02,1999,20,50,21,0.42
103,1916,1,Calvin Booth,1999-00,1999,10,46,16,0.34782608695652173
104,1916,2,Calvin Booth,2000-01,1999,51,252,120,0.47619047619047616
105,1916,3,Calvin Booth,2001-02,1999,15,82,35,0.4268292682926829
106,1916,4,Calvin Booth,2002-03,1999,38,119,52,0.4369747899159664
107,1917,3,Wang Zhi-zhi,2001-02,1999,54,248,109,0.43951612903225806
108,1917,4,Wang Zhi-zhi,2002-03,1999,37,162,62,0.38271604938271603
109,1918,1,Obinna Ekezie,1999-00,1999,32,88,41,0.4659090909090909
110,1918,2,Obinna Ekezie,2000-01,1999,25,81,32,0.3950617283950617
111,1918,3,Obinna Ekezie,2001-02,1999,18,39,13,0.3333333333333333
112,1919,1,Laron Profit,1999-00,1999,21,59,21,0.3559322033898305
113,1919,2,Laron Profit,2000-01,1999,31,142,56,0.39436619718309857
114,1921,4,Gordan Giricek,2002-03,1999,76,803,350,0.43586550435865506
115,1924,2,Lee Nailon,2000-01,1999,37,136,66,0.4852941176470588
116,1924,3,Lee Nailon,2001-02,1999,79,764,369,0.4829842931937173
117,1924,4,Lee Nailon,2002-03,1999,34,190,84,0.4421052631578947
118,1928,1,Todd MacCulloch,1999-00,1999,43,161,89,0.5527950310559007
119,1928,2,Todd MacCulloch,2000-01,1999,55,185,109,0.5891891891891892
120,1928,3,Todd MacCulloch,2001-02,1999,62,465,247,0.5311827956989247
121,1928,4,Todd MacCulloch,2002-03,1999,38,238,123,0.5168067226890757
122,1930,1,Lari Ketner,1999-00,1999,14,32,13,0.40625
123,1934,1,Rodney Buford,1999-00,1999,29,151,62,0.4105960264900662
124,1934,2,Rodney Buford,2000-01,1999,43,241,104,0.4315352697095436
125,1934,3,Rodney Buford,2001-02,1999,63,592,258,0.4358108108108108
126,1937,1,Tim Young,1999-00,1999,17,39,13,0.3333333333333333
127,1938,4,Manu Ginobili,2002-03,1999,67,396,174,0.4393939393939394
128,2030,1,Kenyon Martin,2000-01,2000,68,776,346,0.44587628865979384
129,2030,2,Kenyon Martin,2001-02,2000,73,961,445,0.4630593132154006
130,2030,3,Kenyon Martin,2002-03,2000,77,1080,509,0.47129629629629627
131,2030,4,Kenyon Martin,2003-04,2000,65,900,439,0.48777777777777775
132,2031,1,Stromile Swift,2000-01,2000,75,339,153,0.45132743362831856
133,2031,2,Stromile Swift,2001-02,2000,66,611,293,0.4795417348608838
134,2031,3,Stromile Swift,2002-03,2000,66,489,235,0.48057259713701433
135,2031,4,Stromile Swift,2003-04,2000,77,571,268,0.46935201401050786
