metric,value
rows_after_cleaning,1346268
unique_players,1039
unique_player_seasons,3354
unique_games,28140
duplicate_player_game_event_rows_after_cleaning,0
missing_loc_x_rows,137
missing_loc_y_rows,137
missing_shot_distance_rows,137
missing_minutes_remaining_rows,0
missing_seconds_remaining_rows,0
players_lt_50_total_attempts,109
players_lt_100_total_attempts,157
player_seasons_lt_25_attempts,278
player_seasons_lt_50_attempts,481
player_seasons_lt_100_attempts,767
season_1_attempts,259839
season_2_attempts,347343
season_3_attempts,369478
season_4_attempts,369608
