component,explained_variance_ratio,cumulative_explained_variance_ratio
pca_1,0.2450206851997702,0.2450206851997702
pca_2,0.10799839109414953,0.3530190762939197
pca_3,0.07976385470054184,0.4327829309944615
pca_4,0.048027435257288045,0.48081036625174955
pca_5,0.04504103587507097,0.5258514021268206
pca_6,0.035925688999258514,0.5617770911260791
pca_7,0.03083953946226868,0.5926166305883478
pca_8,0.028459866137495682,0.6210764967258435
pca_9,0.02516749756849054,0.6462439942943341
pca_10,0.02092973655131265,0.6671737308456468
pca_11,0.018408103088016776,0.6855818339336636
pca_12,0.018048406018678857,0.7036302399523424
pca_13,0.016609451801867466,0.7202396917542099
pca_14,0.015455462826746678,0.7356951545809566
pca_15,0.015083251921499445,0.750778406502456
pca_16,0.014216710042951525,0.7649951165454075
pca_17,0.01399719418974576,0.7789923107351533
pca_18,0.012836656105705531,0.7918289668408588
pca_19,0.012461744645125238,0.8042907114859841
pca_20,0.01118500390267555,0.8154757153886596
pca_21,0.010844015871276914,0.8263197312599365
pca_22,0.010380036322864796,0.8366997675828013
pca_23,0.009926740395678113,0.8466265079784794
pca_24,0.009209081029100783,0.8558355890075802
