PLAYER_ID,PLAYER_NAME,INPUT_SEASON,FORECAST_SEASON,Scoring_Score_Actual,Efficiency_Score_Actual,Playmaking_Score_Actual,Defense_Score_Actual,Control_Score_Actual,Scoring_Score_Predicted,Efficiency_Score_Predicted,Playmaking_Score_Predicted,Defense_Score_Predicted,Control_Score_Predicted
1886,Jonathan Bender,1999-2003,2003-2006,52.96378,47.99461,0.0,46.107883,23.329,40.636406,45.69882,33.773243,44.264477,28.962639
2031,Stromile Swift,2000-2004,2004-2007,42.89551,33.41951,0.0,52.84614,45.695072,40.55851,45.517178,33.62661,44.050854,28.819988
2056,Primoz Brezec,2001-2005,2005-2008,36.16145,36.626587,8.385652,0.0,41.635715,42.05649,47.18795,34.70054,45.69527,29.770035
2058,Mark Madsen,2000-2004,2004-2007,0.0,19.612787,8.955451,0.0,41.922043,34.444275,38.7765,28.722403,37.384113,24.652706
2060,Marko Jaric,2002-2006,2006-2009,14.665012,23.090927,44.61732,51.12173,11.715286,38.997726,43.82494,32.469788,42.483128,27.8571
2063,Jake Voskuhl,2000-2004,2004-2007,21.184088,23.182028,15.362892,0.0,49.945827,39.041214,43.914948,32.548813,42.585823,27.932749
2212,Steven Hunter,2001-2005,2005-2008,20.938274,61.609486,3.4019206,53.94823,42.383804,38.82499,43.685555,32.373817,42.366558,27.778225
2246,Mehmet Okur,2002-2006,2006-2009,51.014706,57.09849,20.806257,23.176418,44.080677,44.034622,49.12958,36.2998,47.47069,31.102093
2260,Jarron Collins,2001-2005,2005-2008,8.582859,36.10547,27.145914,0.0,36.147564,34.655563,39.002983,28.884422,37.588856,24.79438
2397,Yao Ming,2002-2006,2006-2009,71.98385,70.982506,1.0711468,61.609043,61.671894,49.27455,54.322834,40.14332,52.24719,34.489555
2410,Fred Jones,2002-2006,2006-2009,19.314463,36.06555,41.90635,39.03367,6.0495224,39.476208,44.33019,32.845146,42.962925,28.184324
2420,Nenad Krstic,2004-2008,2008-2011,32.298367,36.948326,12.031333,26.985413,44.562096,42.068043,47.043636,34.75628,45.482628,29.784348
2436,Flip Murray,2002-2006,2006-2009,40.355686,27.551779,36.650925,50.271664,4.6247,42.59343,47.74985,35.1558,46.193577,30.142345
2449,Luis Scola,2007-2011,2011-2014,48.67816,30.680468,18.461878,13.92405,48.582314,47.836555,52.782913,38.972313,50.768696,33.45838
2545,Darko Milicic,2003-2007,2007-2010,22.763557,16.525028,11.197271,62.402557,51.73841,39.39677,44.3081,32.817287,42.95304,28.156353
2572,Josh Howard,2003-2007,2007-2010,58.748142,35.62454,21.066362,36.93823,28.839283,47.75514,52.695858,38.906143,50.685177,33.400116
2731,Emeka Okafor,2004-2008,2008-2011,31.07812,55.95698,3.4639711,65.9335,69.24662,39.92515,44.67547,33.07635,43.24141,28.369827
2753,Delonte West,2004-2008,2008-2011,27.920738,44.055058,47.234737,65.07574,8.346941,39.845764,44.612915,33.03486,43.19041,28.33655
2768,Chris Duhon,2004-2008,2008-2011,14.857417,38.363087,69.62303,45.024323,4.019514,34.235443,38.513794,28.543325,37.177788,24.4855
101110,Martell Webster,2005-2009,2009-2012,31.038807,46.27477,16.231302,37.15296,19.195532,42.328,47.027924,34.655422,45.441406,29.809593
101115,Andrew Bynum,2005-2009,2009-2012,49.852768,70.717705,7.9243817,73.76095,70.392105,41.710037,46.70114,34.48424,45.156178,29.545841
101122,Danny Granger,2005-2009,2009-2012,68.08653,48.131496,17.82084,57.808662,22.923885,49.43293,54.492447,40.272293,52.410038,34.603134
101124,Hakim Warrick,2005-2009,2009-2012,47.17755,47.96839,11.488758,25.116884,39.885628,41.466377,46.46041,34.282078,44.91892,29.36911
101128,Francisco Garcia,2005-2009,2009-2012,30.49785,38.34359,26.813686,69.55816,10.456425,39.62571,44.408043,32.883846,43.004414,28.206495
101130,Johan Petro,2005-2009,2009-2012,18.93738,7.815293,16.386417,9.121545,52.021877,36.748596,41.324364,30.617273,39.945286,26.253345
101142,Ronny Turiaf,2005-2009,2009-2012,9.942696,75.28896,34.470955,70.90974,39.144135,39.08226,43.963356,32.581722,42.631794,27.960194
101154,Andray Blatche,2005-2009,2009-2012,49.470627,21.810629,12.822574,63.23457,48.402615,39.75036,44.66497,33.067375,43.27933,28.366673
101155,Ryan Gomes,2005-2009,2009-2012,22.114532,26.607546,25.657436,35.698967,20.13307,39.88659,44.63865,33.049637,43.207905,28.346981
200748,Tyrus Thomas,2006-2010,2010-2013,33.393616,8.213991,6.7087054,71.5296,41.93013,39.273598,44.08028,32.65246,42.71179,28.011866
200780,Solomon Jones,2006-2010,2010-2013,12.1924715,7.417487,8.141168,16.829733,43.39569,39.016533,43.913017,32.51206,42.584934,27.894594
200797,Ryan Hollins,2006-2010,2010-2013,20.98812,85.49607,0.0,0.0,31.89236,39.238388,44.140034,32.70462,42.79909,28.063538
201148,Brandan Wright,2010-2014,2014-2017,34.56337,94.48319,18.895483,98.3251,43.137512,40.636665,45.71147,33.758953,44.260204,28.933014
201150,Spencer Hawes,2007-2011,2011-2014,38.341156,37.898083,30.15648,48.160683,56.1682,39.514133,44.298874,32.807884,42.90581,28.142952
201168,Tiago Splitter,2010-2014,2014-2017,36.018806,64.27032,23.064617,47.35679,49.424004,40.493755,45.53504,33.62922,44.086582,28.820042
201175,Glen Davis,2007-2011,2011-2014,38.74175,13.420841,14.910764,44.19097,44.413956,39.31259,44.11431,32.676346,42.741394,28.031818
201189,Aaron Gray,2007-2011,2011-2014,9.032376,31.997038,7.540642,0.0,70.689316,35.473934,39.90371,29.500986,38.34663,25.316467
201579,Roy Hibbert,2008-2012,2012-2015,35.8281,21.014816,8.393687,74.81679,58.064785,41.583138,46.566948,34.361137,45.0151,29.437958
201943,Brandon Jennings,2009-2013,2013-2016,46.288673,21.135233,82.22478,50.13187,7.2506514,45.191597,50.37851,37.20932,48.665012,31.91969
201945,Gerald Henderson,2009-2013,2013-2016,41.372437,29.307196,30.894417,41.49264,15.171932,42.24311,47.240093,34.882095,45.66049,29.881577
201946,Tyler Hansbrough,2009-2013,2013-2016,19.18077,55.054497,10.942639,11.61694,61.29074,41.151413,46.23471,34.138077,44.74676,29.25838
201951,Ty Lawson,2009-2013,2013-2016,38.720642,36.50064,90.094345,56.626858,6.217916,40.816227,45.66563,33.76651,44.172737,28.944405
201956,Omri Casspi,2009-2013,2013-2016,38.76458,55.112686,20.234715,34.77489,35.992737,37.905327,42.577465,31.55952,41.25094,27.047411
201962,Toney Douglas,2009-2013,2013-2016,32.03401,33.35018,47.212376,36.068542,13.740494,39.060524,43.897675,32.522953,42.55341,27.903149
201971,DeJuan Blair,2009-2013,2013-2016,33.59694,36.723507,11.322617,5.866284,67.93585,38.93238,43.77642,32.434258,42.443043,27.827013
201973,Jonas Jerebko,2011-2015,2015-2018,21.23221,47.946884,24.431423,14.176581,43.994476,38.77645,43.628273,32.33007,42.310024,27.739464
201975,Jodie Meeks,2009-2013,2013-2016,46.91596,60.559875,22.84048,60.156593,1.5932482,39.160667,43.982697,32.5838,42.627144,27.954462
201977,Marcus Thornton,2009-2013,2013-2016,47.264904,28.283487,23.74412,48.39051,15.746284,48.24707,53.22472,39.30867,51.193893,33.7547
201978,Chase Budinger,2009-2013,2013-2016,26.87024,32.94425,23.5595,45.265812,23.023508,39.172165,44.00924,32.60205,42.655582,27.970057
202323,Evan Turner,2010-2014,2014-2017,30.105429,20.870056,56.894825,49.55965,26.323689,39.90526,44.656597,33.06225,43.22408,28.35758
202337,Luke Babbitt,2010-2014,2014-2017,25.827553,54.5568,23.594551,12.680531,19.840208,39.223694,44.11258,32.688625,42.771957,28.051296
202338,Kevin Seraphin,2010-2014,2014-2017,37.31219,30.562824,9.231539,24.801344,48.782993,38.993088,43.845673,32.46251,42.4896,27.83479
202344,Trevor Booker,2010-2014,2014-2017,28.988691,42.68906,17.914612,49.773067,62.938457,38.789513,43.633377,32.33341,42.3126,27.741762
202349,Greivis Vasquez,2010-2014,2014-2017,31.318027,22.567791,60.21505,16.668125,9.362123,39.782295,44.54371,32.982147,43.12359,28.290054
202355,Hassan Whiteside,2014-2018,2018-2021,56.058147,69.3488,6.22038,99.10035,100.0,47.98639,52.943867,39.09485,50.923435,33.56636
202362,Lance Stephenson,2010-2014,2014-2017,30.60016,13.168449,42.234142,21.72894,25.809168,40.474148,45.286903,33.527943,43.830036,28.763628
202696,Nikola Vucevic,2011-2015,2015-2018,59.421448,31.981554,34.710133,64.91733,69.12478,47.85851,52.80639,38.990154,50.791225,33.47409
202697,Iman Shumpert,2011-2015,2015-2018,15.754665,27.716333,25.73373,46.73465,16.687891,37.784515,42.484894,31.514215,41.273354,27.016981
202702,Kenneth Faried,2011-2015,2015-2018,46.93837,59.33294,14.44772,46.453,83.57847,42.708916,47.745663,35.250305,46.143314,30.19914
202714,Shelvin Mack,2011-2015,2015-2018,32.270897,29.502409,59.250603,41.102207,12.125412,38.78591,43.63842,32.338547,42.320133,27.747257
202718,Chandler Parsons,2011-2015,2015-2018,39.772987,48.94566,36.957424,41.317776,19.314259,40.04299,44.808014,33.16661,43.3654,28.444485
202720,Jon Leuer,2011-2015,2015-2018,38.582207,46.910606,22.58637,32.341198,47.759674,40.141266,45.169647,33.388878,43.75777,28.625483
202722,Davis Bertans,2016-2020,2020-2023,40.363903,66.60224,23.543514,19.307959,13.683966,47.071125,52.050194,38.439568,50.102737,32.99855
202734,E'Twaun Moore,2011-2015,2015-2018,33.754017,53.0584,35.689247,41.19681,6.9353175,34.30097,38.496307,28.531403,37.069202,24.418703
203079,Dion Waiters,2012-2016,2016-2019,50.567326,26.803144,42.966965,43.150677,7.788576,45.251114,50.443153,37.258747,48.72745,31.963345
203086,Meyers Leonard,2012-2016,2016-2019,31.835032,62.99274,31.529678,0.0,42.499477,38.796394,43.645973,32.343483,42.326,27.751154
203087,Jeremy Lamb,2012-2016,2016-2019,56.91904,48.37169,35.66406,53.191628,31.80145,41.07939,46.18444,34.110153,44.71391,29.242268
203092,Tyler Zeller,2012-2016,2016-2019,34.28094,56.366604,22.925,22.874891,57.54955,43.16397,47.997017,35.421,46.248035,30.378185
203118,Mike Scott,2012-2016,2016-2019,35.18044,48.968216,21.993654,6.938688,31.78513,41.208282,46.33144,34.21383,44.85255,29.331999
203124,Kyle O'Quinn,2012-2016,2016-2019,36.94906,60.792545,35.87494,72.07326,78.36536,38.794136,43.652897,32.348366,42.334797,27.755394
203457,Nerlens Noel,2014-2018,2018-2021,22.331223,95.08453,13.445739,100.0,61.19009,38.491398,43.187363,31.977068,41.760345,27.436762
203463,Ben McLemore,2013-2017,2017-2020,40.093445,60.355534,16.716185,23.164797,11.161867,39.64552,44.41906,32.89323,43.012695,28.214916
203476,Gorgui Dieng,2013-2017,2017-2020,38.130974,51.39528,22.389805,63.813324,63.959465,39.27108,44.07734,32.650333,42.708946,28.01003
203503,Tony Snell,2013-2017,2017-2020,18.956173,63.621616,35.47115,40.13435,3.205396,37.20418,41.849087,31.060818,40.699627,26.61898
203504,Trey Burke,2013-2017,2017-2020,59.845634,42.134674,72.57795,46.115253,7.0310407,41.555237,46.54059,34.34011,44.99054,29.418774
203506,Victor Oladipo,2013-2017,2017-2020,73.215324,47.874897,40.297115,87.183586,22.753141,44.35081,49.470936,36.547924,47.796795,31.32417
203516,James Ennis III,2014-2018,2018-2021,27.41057,63.366467,22.09986,28.758684,29.657557,39.828415,44.80612,33.139618,43.41377,28.416733
203524,Solomon Hill,2013-2017,2017-2020,13.530744,25.187645,35.99626,38.48331,23.937702,35.357174,39.768394,29.437084,38.288143,25.279722
203526,Raul Neto,2015-2019,2019-2022,35.70478,50.30687,53.665867,48.97148,8.790576,38.539555,43.351913,32.125004,42.029106,27.552023
203925,Joe Harris,2014-2018,2018-2021,45.822514,87.24882,28.717485,25.269495,16.144306,40.490585,45.564327,33.52569,44.163395,28.757261
203933,T.J. Warren,2014-2018,2018-2021,65.72405,68.57662,20.613182,47.43445,16.436996,48.232117,53.206646,39.29457,51.17558,33.74218
203953,Jabari Parker,2014-2018,2018-2021,59.339626,53.586662,18.149307,43.07399,47.318592,48.254906,53.237564,39.319077,51.208378,33.76397
203992,Bogdan Bogdanović,2017-2021,2021-2024,56.467064,56.096634,44.07669,50.38864,13.390024,47.90706,52.86163,39.03309,50.84559,33.512375
1626153,Delon Wright,2015-2019,2019-2022,22.944096,52.18795,65.21365,94.33233,26.07728,39.929806,44.89573,33.229324,43.50478,28.50456
1626158,Richaun Holmes,2015-2019,2019-2022,45.59307,100.0,18.066088,46.945015,62.95623,40.57628,45.635925,33.699806,44.18385,28.879822
1626159,Justise Winslow,2015-2019,2019-2022,29.175022,0.0,35.921055,53.287167,46.909046,39.506664,44.29192,32.802895,42.899563,28.138721
1626161,Willie Cauley-Stein,2015-2019,2019-2022,24.429743,71.43819,25.218407,62.583958,56.98387,39.705986,44.476067,32.933495,43.063824,28.248816
1626163,Frank Kaminsky,2015-2019,2019-2022,47.170506,48.851913,44.902054,30.644182,46.99882,44.29968,49.121784,36.23972,47.289036,31.089678
1626168,Trey Lyles,2015-2019,2019-2022,38.49321,58.732,24.725407,39.688065,52.128643,41.39737,46.513927,34.34098,45.02044,29.440845
1626169,Stanley Johnson,2015-2019,2019-2022,19.056,38.34477,34.193367,45.558647,23.236103,38.858604,43.697666,32.379093,42.36977,27.78049
1626179,Terry Rozier,2015-2019,2019-2022,62.069828,53.53925,50.1496,56.78579,15.815883,39.261932,44.080032,32.655754,42.716568,28.016617
1626195,Willy Hernangomez,2016-2020,2020-2023,52.7703,65.85044,21.808474,37.420395,96.90433,42.552128,47.276497,34.90428,45.526783,29.917484
1626224,Cedi Osman,2017-2021,2021-2024,42.231293,59.60984,38.543423,30.991873,12.824074,39.779152,44.54504,32.98435,43.12672,28.292645
1627734,Domantas Sabonis,2016-2020,2020-2023,60.695194,86.71827,59.839775,30.13325,76.94178,47.754074,52.71718,38.92581,50.71638,33.41819
1627739,Kris Dunn,2016-2020,2020-2023,40.08658,47.37817,81.22553,51.64691,24.190666,39.42333,44.220512,32.750957,42.837017,28.094494
1627745,Damian Jones,2016-2020,2020-2023,33.747967,100.0,18.29042,43.33361,49.58162,40.115517,45.13288,33.34129,43.770466,28.619774
1627747,Caris LeVert,2016-2020,2020-2023,54.417572,38.51305,54.332775,50.277733,16.396124,48.52018,53.521976,39.536285,51.481133,33.956055
1627751,Jakob Poeltl,2016-2020,2020-2023,39.748672,79.470795,33.160473,76.322334,75.3712,38.72479,43.57682,32.29352,42.262924,27.708504
1627759,Jaylen Brown,2016-2020,2020-2023,86.51332,60.53712,25.682064,44.3342,30.296415,48.234116,53.208664,39.29607,51.17747,33.74348
1627777,Georges Niang,2016-2020,2020-2023,39.270287,70.696686,24.754616,9.681976,15.310044,41.573387,46.828033,34.420128,45.383915,29.522724
1627783,Pascal Siakam,2016-2020,2020-2023,70.43104,50.953953,51.09266,39.60826,39.905624,49.215725,54.259846,40.095413,52.18671,34.447372
1627823,Juancho Hernangomez,2016-2020,2020-2023,24.199535,40.62059,22.24254,44.17428,41.505577,38.812588,43.667557,32.360302,42.348072,27.766256
1628365,Markelle Fultz,2017-2021,2021-2024,44.127846,40.510445,66.07328,69.494095,20.900131,42.174423,46.771122,34.602036,45.06963,29.678509
1628368,De'Aaron Fox,2017-2021,2021-2024,86.24263,56.90409,58.0828,54.96049,14.115869,49.435493,54.495193,40.274384,52.41267,34.604973
1628372,Dennis Smith Jr.,2017-2021,2021-2024,27.179823,16.17119,74.76992,70.37433,18.980522,44.776768,49.941936,36.889473,48.24914,31.637857
1628381,John Collins,2017-2021,2021-2024,51.7967,73.48188,19.005445,40.675797,51.464962,49.323963,54.37576,40.18356,52.298,34.524994
1628386,Jarrett Allen,2017-2021,2021-2024,49.937836,100.0,24.629566,71.245865,72.61607,39.742237,44.50722,32.9562,43.091167,28.268167
1628389,Bam Adebayo,2017-2021,2021-2024,64.55577,65.29206,31.07582,62.46086,61.43134,47.82391,52.76938,38.96202,50.755703,33.44932
1628392,Isaiah Hartenstein,2018-2022,2022-2025,23.760752,76.25092,39.545757,59.79067,81.132,39.94859,44.93269,33.24037,43.53654,28.50711
1628401,Derrick White,2017-2021,2021-2024,44.621517,63.92133,65.34231,64.15142,15.103967,45.762985,50.741974,37.481274,48.889614,32.160698
1628415,Dillon Brooks,2017-2021,2021-2024,48.90557,31.160046,30.20353,16.922838,12.093087,48.1516,53.120453,39.229034,51.09284,33.684475
1628960,Grayson Allen,2018-2022,2022-2025,37.41075,90.34242,38.467133,52.077335,14.331216,41.243362,46.296684,34.18967,44.79804,29.305483
1628963,Marvin Bagley III,2018-2022,2022-2025,56.809834,71.117615,14.261377,51.555332,66.04352,46.06232,51.32413,37.932102,49.578293,32.558155
1628969,Mikal Bridges,2018-2022,2022-2025,57.33477,58.987186,40.32339,60.458214,12.489061,39.899826,44.65065,33.058147,43.218533,28.354149
1628971,Bruce Brown,2018-2022,2022-2025,35.423424,48.845207,43.489742,49.257835,23.15971,38.928436,43.761513,32.42456,42.4266,27.81889
1628975,Jevon Carter,2018-2022,2022-2025,31.915283,35.76254,46.74854,52.499363,7.4342046,38.73909,43.59366,32.306736,42.279564,27.720396
1628978,Donte DiVincenzo,2018-2022,2022-2025,44.97442,66.08267,45.53374,63.26588,21.069942,39.2256,44.050507,32.635967,42.692066,28.000607
1628983,Shai Gilgeous-Alexander,2018-2022,2022-2025,100.0,85.28421,63.887325,87.44348,21.324165,49.43383,54.493412,40.27303,52.41096,34.60378
1628988,Aaron Holiday,2018-2022,2022-2025,33.281933,55.94259,46.000214,34.39191,7.7276273,39.692978,44.630966,33.02389,43.24541,28.321268
1628989,Kevin Huerter,2018-2022,2022-2025,45.112713,60.968838,44.14415,46.101303,14.996121,39.835407,44.59172,33.016167,43.166065,28.318693
1628991,Jaren Jackson Jr.,2018-2022,2022-2025,83.735245,61.610268,12.920088,90.633705,35.8195,48.924694,53.949417,39.857162,51.889244,34.237625
1628995,Kevin Knox II,2018-2022,2022-2025,41.02464,58.567772,12.956181,27.457405,27.648512,37.91497,42.307785,31.31141,40.827896,26.767193
1629006,Josh Okogie,2018-2022,2022-2025,32.042095,44.009823,28.22658,81.85437,34.51449,33.548145,37.659748,27.878876,36.137737,23.885471
1629008,Michael Porter Jr.,2019-2023,2023-2026,65.565155,71.95057,25.536882,43.93291,40.00715,48.96963,53.996384,39.89509,51.93379,34.27098
1629011,Mitchell Robinson,2018-2022,2022-2025,15.162199,82.55101,18.547604,100.0,87.78254,39.02244,43.848232,32.486557,42.50415,27.871378
1629013,Landry Shamet,2018-2022,2022-2025,39.328335,51.486427,34.048714,35.40566,4.298274,39.003654,43.83073,32.474007,42.48843,27.86073
1629014,Anfernee Simons,2018-2022,2022-2025,69.43214,54.857113,50.549297,31.559282,4.267554,48.48411,53.492867,39.50496,51.45741,33.929287
1629018,Gary Trent Jr.,2018-2022,2022-2025,50.686596,52.836357,29.781242,60.05847,5.1033955,45.728195,50.94629,37.633232,49.20684,32.29277
1629021,Moritz Wagner,2018-2022,2022-2025,67.79176,95.64105,18.353306,26.2029,50.447105,46.94776,52.003998,38.425922,50.089287,33.006424
1629022,Lonnie Walker IV,2018-2022,2022-2025,56.26385,49.404606,27.855293,49.294357,9.711899,47.015182,52.02108,38.41861,50.085354,32.98678
1629023,P.J. Washington,2019-2023,2023-2026,43.163517,41.855217,22.33367,69.709335,39.64061,40.470657,45.290634,33.49717,43.81817,28.718967
1629027,Trae Young,2018-2022,2022-2025,85.22128,57.54453,99.092224,52.389473,4.3688874,49.438633,54.498554,40.27694,52.415897,34.607224
1629028,Deandre Ayton,2018-2022,2022-2025,57.951035,69.28124,15.484609,51.86869,75.01373,48.25585,53.231903,39.313725,51.19976,33.75902
1629048,Goga Bitadze,2019-2023,2023-2026,28.79408,92.57099,36.32779,93.95145,73.67873,39.6221,44.55743,32.927002,43.13348,28.202438
1629057,Robert Williams III,2018-2022,2022-2025,26.749481,100.0,23.449049,100.0,80.463356,39.273235,44.126812,32.692665,42.771595,28.050667
1629628,RJ Barrett,2019-2023,2023-2026,74.05235,54.903732,42.80558,32.003166,30.409739,48.27806,53.255676,39.331802,51.222584,33.77494
1629630,Ja Morant,2019-2023,2023-2026,89.12461,48.171246,76.1241,49.06308,16.933386,49.438633,54.498554,40.27694,52.415897,34.607224
1629637,Jaxson Hayes,2019-2023,2023-2026,30.544382,100.0,21.755745,43.551064,49.217884,40.21299,45.229065,33.419785,43.802113,28.645197
1629638,Nickeil Alexander-Walker,2019-2023,2023-2026,43.792572,62.736176,42.915054,55.019184,10.749523,41.291286,46.35926,34.22738,44.857876,29.332306
1629639,Tyler Herro,2019-2023,2023-2026,77.53364,66.07414,51.001087,49.1972,20.570028,49.02244,54.05285,39.938004,51.987972,34.30876
1629651,Nic Claxton,2019-2023,2023-2026,36.665836,68.87033,38.993366,84.38826,62.97899,40.065117,44.883896,33.24121,43.46065,28.519487
1629655,Daniel Gafford,2019-2023,2023-2026,48.563137,100.0,22.04181,90.390854,72.175415,40.549095,45.601303,33.675926,44.15029,28.859735
1629660,Ty Jerome,2019-2023,2023-2026,78.89357,88.058174,68.073135,59.433147,16.343405,39.218086,44.084457,32.659653,42.73511,28.021683
1629661,Cameron Johnson,2019-2023,2023-2026,51.719822,73.91146,40.07038,44.864674,19.82108,47.39141,52.35948,38.66687,50.38374,33.197487
1629673,Jordan Poole,2019-2023,2023-2026,70.89939,48.23414,43.03271,36.155853,6.6309876,49.426147,54.485188,40.266773,52.403065,34.598274
1629684,Grant Williams,2019-2023,2023-2026,31.365513,66.33978,31.422737,29.940477,26.541382,37.163334,41.802776,31.027798,40.657757,26.58981
