PLAYER_ID,PLAYER_NAME,resid_realized_score_z,resid_TS_PCT_score,resid_VPS_score,resid_GmSc_Per48_score,label_realized_score_z,label_TS_PCT_score,label_VPS_score,label_GmSc_Per48_score,final_label,final_label_num,label_realized_score_z_num,label_TS_PCT_score_num,label_VPS_score_num,label_GmSc_Per48_score_num
1882,Elton Brand,-0.5455185744683759,-0.04423104909348208,-0.16576084119003776,-5.670135826047225,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1883,Steve Francis,-0.6097041805692773,-0.04503695272347763,-0.25694648228118444,-7.185633426445898,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1884,Baron Davis,0.5340357478049385,-0.019914416690778647,-0.2629633324007592,1.2114955528983522,Neutral,Bust,Bust,Neutral,Neutral,1,1,2,2,1
1885,Lamar Odom,0.8323770449017973,-0.019755263595631067,0.03974458368624112,-1.5188329790100479,Sleeper,Bust,Neutral,Bust,Bust,2,0,2,1,2
1886,Jonathan Bender,-0.7827628703915063,0.08512409585225944,0.43221083797060067,2.389174843740779,Bust,Sleeper,Sleeper,Neutral,Sleeper,0,2,0,0,1
1887,Wally Szczerbiak,-0.6287502989845173,-0.006826696574127489,-0.1884404305333316,-1.5126233892767935,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1888,Richard Hamilton,0.430583045790348,-0.02267365503217955,0.12090694782620437,-1.633463490752586,Neutral,Bust,Neutral,Bust,Neutral,1,1,2,1,2
1889,Andre Miller,0.1962208495017348,0.011796547639240762,-0.09060599758851473,-2.612770586284114,Neutral,Neutral,Bust,Bust,Neutral,1,1,1,2,2
1890,Shawn Marion,0.4985791543742295,-0.030399384665931728,-0.1022548326596493,-6.503473483130865,Neutral,Bust,Bust,Bust,Bust,2,1,2,2,2
1891,Jason Terry,-0.34672877868755236,0.021328610291088568,-0.05358133124700415,-3.5892777101425946,Bust,Neutral,Bust,Bust,Bust,2,2,1,2,2
1894,Corey Maggette,0.4010052567073863,0.026281434284025296,0.035843516504277195,2.842743104934142,Neutral,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1
1897,Metta World Peace,-0.11683031704046731,-0.02812939451074553,-0.14466210288017445,-2.060690624967414,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1899,James Posey,-0.16401878163567685,0.03231662541326907,-0.05633897698468293,-0.7200010437105977,Bust,Neutral,Bust,Bust,Bust,2,2,1,2,2
1901,Dion Glover,-0.31755571457905507,-0.04681831287359295,-0.07743510448841584,-0.4715428319974375,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1902,Jeff Foster,0.7080512021630107,0.03050289681313223,0.13258835505628364,0.9920883647231307,Sleeper,Neutral,Neutral,Neutral,Neutral,1,0,1,1,1
1903,Kenny Thomas,-0.3370584556538232,-0.04726645643151417,0.00021271600748673514,-1.0159124691713348,Bust,Bust,Neutral,Bust,Bust,2,2,2,1,2
1904,Devean George,0.16229698403401932,-0.011806146931405026,-0.10624155406342917,-1.9598757653236945,Neutral,Bust,Bust,Bust,Bust,2,1,2,2,2
1905,Andrei Kirilenko,-0.3266025064058411,-0.03790788812701307,-0.06109562560417414,-5.930854981268141,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
1908,Jumaine Jones,-0.0819682289191469,-0.05246877750253853,-0.3314603524270072,-3.9155873389952927,Bust,Bust,Bust,Bust,Bust,2,2,2,2,2
