x_label,actual,predicted
Trey Burke,0.0079133743049458,0.07070301067054038
Sterling Brown,0.0266870674471151,0.04658142666657675
Georges Niang,0.0293557741918266,0.04455909329329953
Dante Cunningham,0.0371512806966717,0.056208487802058955
Norris Cole,0.0457682857142857,0.06333317777396295
Nassir Little,0.045948787319605,0.059612783692463533
Willie Green,0.0577368779822767,0.06099517706395088
Mickael Pietrus,0.0623902570555455,0.0677228114111456
Cedi Osman,0.0723516110093048,0.0651190939839669
Trevor Booker,0.0792832791564259,0.043650080718351705
Patrick Patterson,0.0924653294220249,0.09593557846315186
Anderson Varejao,0.0985766871165644,0.08534119324708173
Nick Collison,0.108214042263122,0.08464986183163462
James Posey,0.1121578467153284,0.09622004915050643
Avery Bradley,0.1140253865059858,0.0799413266389533
Samuel Dalembert,0.1781181330573068,0.10716406784022281
Chandler Parsons,0.21945,0.20473213476846863
De'Aaron Fox,0.25,0.20188433089850433
Kevin Love,0.2504116634571141,0.22240563159666
Kevin Durant,0.2671530563021156,0.3113482494441776
