player_name,actual_class,compare_class,series_name,skill,value
Trae Young,Sleeper,Sleeper,Sleeper avg,Scoring,88
Trae Young,Sleeper,Sleeper,Trae Young,Scoring,100
Nikola Vucevic,Neutral,Neutral,Neutral avg,Scoring,65
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Scoring,80
Trae Young,Sleeper,Sleeper,Sleeper avg,Shooting,65
Trae Young,Sleeper,Sleeper,Trae Young,Shooting,92
Nikola Vucevic,Neutral,Neutral,Neutral avg,Shooting,55
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Shooting,25
Trae Young,Sleeper,Sleeper,Sleeper avg,Playmaking,80
Trae Young,Sleeper,Sleeper,Trae Young,Playmaking,98
Nikola Vucevic,Neutral,Neutral,Neutral avg,Playmaking,60
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Playmaking,58
Trae Young,Sleeper,Sleeper,Sleeper avg,Rebounding,75
Trae Young,Sleeper,Sleeper,Trae Young,Rebounding,60
Nikola Vucevic,Neutral,Neutral,Neutral avg,Rebounding,60
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Rebounding,100
Trae Young,Sleeper,Sleeper,Sleeper avg,Defense,80
Trae Young,Sleeper,Sleeper,Trae Young,Defense,55
Nikola Vucevic,Neutral,Neutral,Neutral avg,Defense,62
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Defense,75
Trae Young,Sleeper,Sleeper,Sleeper avg,Ball Security,60
Trae Young,Sleeper,Sleeper,Trae Young,Ball Security,82
Nikola Vucevic,Neutral,Neutral,Neutral avg,Ball Security,52
Nikola Vucevic,Neutral,Neutral,Nikola Vucevic,Ball Security,28
